BioSampleAccession	BioSampleComment
SAMN00115134	KEEP
SAMN00115135	KEEP
SAMN00115136	KEEP
SAMN00115137	KEEP
SAMN00115138	KEEP
SAMN00115139	KEEP
SAMN00115140	KEEP
SAMN00115141	KEEP
SAMN00115142	KEEP
SAMN00115143	KEEP
SAMN00115144	KEEP
SAMN00115145	KEEP
SAMN00115146	KEEP
SAMN00115147	KEEP
SAMN00115148	KEEP
SAMN00115149	KEEP
SAMN00115150	KEEP
SAMN00115151	KEEP
SAMN00115152	KEEP
SAMN00115153	KEEP
SAMN00115154	KEEP
SAMN00115155	KEEP
SAMN00115156	KEEP
SAMN00115157	KEEP
SAMN00115158	KEEP
SAMN00115159	KEEP
SAMN00115160	KEEP
SAMN00115161	KEEP
SAMN00115162	KEEP
SAMN00115163	KEEP
SAMN00115164	KEEP
SAMN00115165	KEEP
SAMN00115166	KEEP
SAMN00115167	KEEP
SAMN00115168	KEEP
SAMN00115169	KEEP
SAMN00115170	KEEP
SAMN00115171	KEEP
SAMN00115172	KEEP
SAMN00115173	KEEP
SAMN00115174	KEEP
SAMN00115175	KEEP
SAMN00115176	KEEP
SAMN00115177	KEEP
SAMN00115178	KEEP
SAMN00115179	KEEP
SAMN00115180	KEEP
SAMN00115181	KEEP
SAMN00115182	KEEP
SAMN00115183	KEEP
SAMN00115184	KEEP
SAMN00115185	KEEP
SAMN00115186	KEEP
SAMN00115187	KEEP
SAMN00115188	KEEP
SAMN00115189	KEEP
SAMN00115190	KEEP
SAMN00115191	KEEP
SAMN00115192	KEEP
SAMN00115193	KEEP
SAMN00115194	KEEP
SAMN00115195	KEEP
SAMN00115196	KEEP
SAMN00115197	KEEP
SAMN00115198	KEEP
SAMN00115199	KEEP
SAMN00115200	KEEP
SAMN00115201	KEEP
SAMN00115202	KEEP
SAMN00115203	KEEP
SAMN00115204	KEEP
SAMN00115205	KEEP
SAMN00115206	KEEP
SAMN00115207	KEEP
SAMN00115208	KEEP
SAMN00115209	KEEP
SAMN00115210	KEEP
SAMN00115211	KEEP
SAMN00115212	KEEP
SAMN00115213	KEEP
SAMN00115214	KEEP
SAMN00115215	KEEP
SAMN00115216	KEEP
SAMN00115217	KEEP
SAMN00115218	KEEP
SAMN00115219	KEEP
SAMN00115220	KEEP
SAMN00115221	KEEP
SAMN00115222	KEEP
SAMN00115223	KEEP
SAMN00115224	KEEP
SAMN00115225	KEEP
SAMN00115226	KEEP
SAMN00115227	KEEP
SAMN00115228	KEEP
SAMN00115229	KEEP
SAMN00115230	KEEP
SAMN00115231	KEEP
SAMN00115232	KEEP
SAMN00115233	KEEP
SAMN00115234	KEEP
SAMN00115235	KEEP
SAMN00115236	KEEP
SAMN00115237	KEEP
SAMN00115238	KEEP
SAMN00115239	KEEP
SAMN00115240	KEEP
SAMN00115241	KEEP
SAMN00115242	KEEP
SAMN00115243	KEEP
SAMN00115244	KEEP
SAMN00115245	KEEP
SAMN00115246	KEEP
SAMN00115247	KEEP
SAMN00115248	KEEP
SAMN00115249	KEEP
SAMN00115250	KEEP
SAMN00115251	KEEP
