BioSampleAccession	BioSampleComment
SAMEA104443954	REMOVE
SAMN10484567	REMOVE
SAMN06075482	REMOVE
SAMN07510740	REMOVE
SAMN07510738	REMOVE
SAMN07510723	REMOVE
SAMN07510711	REMOVE
SAMN07498437	REMOVE
SAMN07498373	REMOVE
SAMN06075487	REMOVE
SAMN06075483	REMOVE
SAMN05823560	REMOVE
SAMN05823553	REMOVE
SAMN03860331	REMOVE
SAMN03860330	REMOVE
SAMN03860321	REMOVE
SAMN03860328	REMOVE
SAMN03860322	REMOVE
SAMN03860172	REMOVE
SAMN03797527	REMOVE
SAMN02727742	REMOVE
SAMN02650270	REMOVE
SAMN02650267	REMOVE
SAMN02602918	REMOVE
SAMN02640305	REMOVE
SAMN09464367	REMOVE
SAMN05853556	REMOVE
SAMN09464368	REMOVE
SAMN09464366	REMOVE
SAMN09464365	REMOVE
SAMN09464363	REMOVE
SAMN09464364	REMOVE
SAMN05715376	REMOVE
SAMN05450311	REMOVE
SAMN04192112	REMOVE
SAMN02614613	REMOVE
SAMN02713604	REMOVE
SAMN05386328	REMOVE
SAMN05386327	REMOVE
SAMN05386326	REMOVE
SAMN05386325	REMOVE
SAMN05386324	REMOVE
SAMN05386323	REMOVE
SAMN05386322	REMOVE
SAMN05386321	REMOVE
SAMN05386320	REMOVE
SAMN05386319	REMOVE
SAMN05386318	REMOVE
SAMN05386317	REMOVE
SAMN05386316	REMOVE
SAMN05386315	REMOVE
SAMN05386314	REMOVE
SAMN05386313	REMOVE
SAMN05386312	REMOVE
SAMN05386311	REMOVE
SAMN03856542	REMOVE
SAMN03856541	REMOVE
SAMN03856540	REMOVE
SAMN03856539	REMOVE
SAMN03856538	REMOVE
SAMN03856537	REMOVE
SAMN03856536	REMOVE
SAMN03856500	REMOVE
SAMN03856499	REMOVE
SAMN02640258	REMOVE
SAMN09245989	REMOVE
SAMN10340333	REMOVE
SAMN09111775	REMOVE
SAMN09111788	REMOVE
SAMN09104983	REMOVE
SAMN09104938	REMOVE
SAMN09104650	REMOVE
SAMN08999468	REMOVE
SAMN08741635	REMOVE
SAMN08741634	REMOVE
SAMN08741633	REMOVE
SAMN08741629	REMOVE
SAMN08741628	REMOVE
SAMN08741626	REMOVE
SAMN08741624	REMOVE
SAMN08741622	REMOVE
SAMN08741621	REMOVE
SAMN08734606	REMOVE
SAMN08731626	REMOVE
SAMN08721838	REMOVE
SAMN08395532	REMOVE
SAMN07192613	REMOVE
SAMN07192612	REMOVE
SAMN06711158	REMOVE
SAMN06806565	REMOVE
SAMN06806563	REMOVE
SAMN06806560	REMOVE
SAMN06806559	REMOVE
SAMN06806481	REMOVE
SAMN06806440	REMOVE
SAMN06806439	REMOVE
SAMN06806438	REMOVE
SAMN06768535	REMOVE
SAMN06768135	REMOVE
SAMN06768133	REMOVE
SAMN06768132	REMOVE
SAMN06768131	REMOVE
SAMN06768130	REMOVE
SAMN06768129	REMOVE
SAMN06768128	REMOVE
SAMN04417245	REMOVE
SAMN04413738	REMOVE
SAMN04413737	REMOVE
SAMN03436878	REMOVE
SAMN02911891	REMOVE
SAMN08999467	REMOVE
SAMN04417250	REMOVE
SAMN04417215	REMOVE
SAMN04023227	REMOVE
SAMN04023226	REMOVE
SAMN04023225	REMOVE
SAMN04023224	REMOVE
SAMN03436133	REMOVE
SAMN09397111	REMOVE
SAMN05162506	REMOVE
SAMN05162505	REMOVE
SAMN07286087	REMOVE
SAMN07286086	REMOVE
SAMN02929928	REMOVE
SAMN02929927	REMOVE
SAMN02929926	REMOVE
SAMEA104567043	REMOVE
SAMN04567820	REMOVE
SAMN04567819	REMOVE
SAMN04567818	REMOVE
SAMN04567817	REMOVE
SAMN04567816	REMOVE
SAMN04567815	REMOVE
SAMN04567814	REMOVE
SAMN04567813	REMOVE
SAMN04567812	REMOVE
SAMN04567811	REMOVE
SAMN04567810	REMOVE
SAMN04567809	REMOVE
SAMN05712322	REMOVE
SAMN05712321	REMOVE
SAMN05712320	REMOVE
SAMN05712319	REMOVE
SAMN05712318	REMOVE
SAMN05712317	REMOVE
SAMN05712316	REMOVE
SAMN05712315	REMOVE
SAMN05712314	REMOVE
SAMN05712313	REMOVE
SAMN05712312	REMOVE
SAMN05712311	REMOVE
SAMN05712310	REMOVE
SAMN05712309	REMOVE
SAMN05712308	REMOVE
SAMN05712307	REMOVE
SAMN05712306	REMOVE
SAMN05712305	REMOVE
SAMN05712304	REMOVE
SAMN05712303	REMOVE
SAMN05712302	REMOVE
SAMN05712301	REMOVE
SAMN05712300	REMOVE
SAMN05712299	REMOVE
SAMN04011831	REMOVE
SAMN04011830	REMOVE
SAMN04011829	REMOVE
SAMN04011828	REMOVE
SAMN04011827	REMOVE
SAMN04011826	REMOVE
SAMN04011825	REMOVE
SAMN04011824	REMOVE
SAMN04011823	REMOVE
SAMN04011822	REMOVE
SAMN04011821	REMOVE
SAMN04011820	REMOVE
SAMN04011819	REMOVE
SAMN04011818	REMOVE
SAMN04011817	REMOVE
SAMN04011816	REMOVE
SAMN04011815	REMOVE
SAMN04011814	REMOVE
SAMN04011813	REMOVE
SAMN04011812	REMOVE
SAMN04011811	REMOVE
SAMN04011810	REMOVE
SAMN04011809	REMOVE
SAMN02179219	REMOVE
SAMN02179218	REMOVE
SAMN02179217	REMOVE
SAMN02179216	REMOVE
SAMN02402991	REMOVE
SAMN02402992	REMOVE
SAMN02402993	REMOVE
SAMN02402994	REMOVE
SAMN02402990	REMOVE
SAMN02402995	REMOVE
SAMN02402996	REMOVE
SAMN02402997	REMOVE
SAMN02402998	REMOVE
SAMN02402999	REMOVE
SAMN02403000	REMOVE
SAMN02403001	REMOVE
SAMN02403002	REMOVE
SAMN02403003	REMOVE
SAMN02403004	REMOVE
SAMN02403005	REMOVE
SAMN02403006	REMOVE
SAMN02403007	REMOVE
SAMN02403008	REMOVE
SAMN02403009	REMOVE
SAMN02403010	REMOVE
