Accession	BioProject	Strain	SRAAccession
SAMN02403074	PRJNA47685	EV76-CN	
SAMN02403108	PRJNA47685	YN663	
SAMN02403107	PRJNA47685	YN472	
SAMN02403106	PRJNA47685	YN2588	
SAMN02403105	PRJNA47685	YN2551	
SAMN02403104	PRJNA47685	YN2179	
SAMN02403103	PRJNA47685	YN1683	
SAMN02403102	PRJNA47685	YN1065	
SAMN02403101	PRJNA47685	SHAN12	
SAMN02403100	PRJNA47685	SHAN11	
SAMN02403099	PRJNA47685	MGJZ9	
SAMN02403098	PRJNA47685	MGJZ7	
SAMN02403097	PRJNA47685	MGJZ6	
SAMN02403096	PRJNA47685	MGJZ3	
SAMN02403095	PRJNA47685	MGJZ12	
SAMN02403094	PRJNA47685	MGJZ11	
SAMN02403093	PRJNA47685	M0000002	
SAMN02403092	PRJNA47685	K21985002	
SAMN02403091	PRJNA47685	K11973002	
SAMN02403090	PRJNA47685	J1978002	
SAMN02403089	PRJNA47685	J1963002	
SAMN02403088	PRJNA47685	I2001001	
SAMN02403087	PRJNA47685	I1994006	
SAMN02403086	PRJNA47685	I1991001	
SAMN02403085	PRJNA47685	I1970005	
SAMN02403084	PRJNA47685	I1969003	
SAMN02403083	PRJNA47685	I160001	
SAMN02403082	PRJNA47685	H1959004	
SAMN02403081	PRJNA47685	H1958004	
SAMN02403080	PRJNA47685	G8786	
SAMN02403079	PRJNA47685	G1996010	
SAMN02403078	PRJNA47685	G1996006	
SAMN02403077	PRJNA47685	F1984001	
SAMN02403076	PRJNA47685	F1954001	
SAMN02403075	PRJNA47685	F1946001	
SAMN02403073	PRJNA47685	E1977001	
SAMN02403072	PRJNA47685	D1991004	
SAMN02403071	PRJNA47685	D1982001	
SAMN02403070	PRJNA47685	D1964002	
SAMN02403069	PRJNA47685	D1964001	
SAMN02403068	PRJNA47685	CMCCN010025	
SAMN02403067	PRJNA47685	CMCCK110001	
SAMN02403066	PRJNA47685	CMCCK100001	
SAMN02403065	PRJNA47685	CMCC99103	
SAMN02403064	PRJNA47685	CMCC96007	
SAMN02403063	PRJNA47685	CMCC96001	
SAMN02403062	PRJNA47685	CMCC95001	
SAMN02403061	PRJNA47685	CMCC93014	
SAMN02403060	PRJNA47685	CMCC92010	
SAMN02403059	PRJNA47685	CMCC92004	
SAMN02403058	PRJNA47685	CMCC91090	
SAMN02403057	PRJNA47685	CMCC90027	
SAMN02403056	PRJNA47685	CMCC87001	
SAMN02403055	PRJNA47685	CMCC84046	
SAMN02403054	PRJNA47685	CMCC84038	
SAMN02403053	PRJNA47685	CMCC84033	
SAMN02403052	PRJNA47685	CMCC8211	
SAMN02403051	PRJNA47685	CMCC71001	
SAMN02403050	PRJNA47685	CMCC67001	
SAMN02403049	PRJNA47685	CMCC640047	
SAMN02403048	PRJNA47685	CMCC64001	
SAMN02403047	PRJNA47685	CMCC51020	
SAMN02403046	PRJNA47685	CMCC49003	
SAMN02403045	PRJNA47685	CMCC43032	
SAMN02403044	PRJNA47685	CMCC42007	
SAMN02403043	PRJNA47685	CMCC38001	
SAMN02403042	PRJNA47685	CMCC348002	
SAMN02403041	PRJNA47685	CMCC347001	
SAMN02403040	PRJNA47685	CMCC31004	
SAMN02403039	PRJNA47685	CMCC27002	
SAMN02403038	PRJNA47685	CMCC21106	
SAMN02403037	PRJNA47685	CMCC18019	
SAMN02403036	PRJNA47685	CMCC125002	
SAMN02403035	PRJNA47685	CMCC12003	
SAMN02403034	PRJNA47685	CMCC114001	
SAMN02403033	PRJNA47685	CMCC11001	
SAMN02403032	PRJNA47685	CMCC107004	
SAMN02403031	PRJNA47685	CMCC106002	
SAMN02403030	PRJNA47685	CMCC104003	
SAMN02403029	PRJNA47685	CMCC10012	
SAMN02403028	PRJNA47685	CMCC05013	
SAMN02403027	PRJNA47685	CMCC05009	
SAMN02403026	PRJNA47685	CMCC03001	
SAMN02403025	PRJNA47685	CMCC02041	
SAMN02403024	PRJNA47685	C1989001	
SAMN02403023	PRJNA47685	C1976001	
SAMN02403022	PRJNA47685	C1975003	
SAMN02403021	PRJNA47685	E1979001	
SAMN02403020	PRJNA47685	A1973001	
SAMN02403019	PRJNA47685	A1956001	
SAMN02403018	PRJNA47685	970754	
SAMN02403017	PRJNA47685	945	
SAMN02403016	PRJNA47685	91	
SAMN02403015	PRJNA47685	9	
SAMN02403014	PRJNA47685	780441	
SAMN02403013	PRJNA47685	735	
SAMN02403012	PRJNA47685	7338	
SAMN02403011	PRJNA47685	710317	
SAMN02403010	PRJNA47685	71021	
SAMN02403009	PRJNA47685	7	
SAMN02403008	PRJNA47685	620024	
SAMN02403007	PRJNA47685	5761	
SAMN02403006	PRJNA47685	5	
SAMN02403005	PRJNA47685	42095	
SAMN02403004	PRJNA47685	42091	
SAMN02403003	PRJNA47685	42082	
SAMN02403002	PRJNA47685	42013	
SAMN02403001	PRJNA47685	351001	
SAMN02403000	PRJNA47685	34202	
SAMN02402999	PRJNA47685	34008	
SAMN02402998	PRJNA47685	30017	
SAMN02402997	PRJNA47685	2654	
SAMN02402996	PRJNA47685	2506	
SAMN02402995	PRJNA47685	2504	
SAMN02402994	PRJNA47685	2330	
SAMN02402993	PRJNA47685	2	
SAMN02402992	PRJNA47685	164	
SAMN02402991	PRJNA47685	12	
SAMN00115251	PRJNA47685	E1979001	SRS116784
SAMN00115250	PRJNA47685	YN663	SRS116783
