Accession	BioProject	Strain	SRAAccession	AccessionSecondary
SAMN02141448	PRJNA64281	PY-01	SRS267443	SAMN00739929
SAMN00739929	PRJNA64281	PY-01	SRS267443	SAMN02141448
SAMN02141449	PRJNA64283	PY-02	SRS258342	SAMN00710637
SAMN00710637	PRJNA64283	PY-02	SRS258342	SAMN02141449
SAMN02141450	PRJNA64285	PY-03	SRS255993	SAMN00704075
SAMN00704075	PRJNA64285	PY-03	SRS255993	SAMN02141450
SAMN02141451	PRJNA64287	PY-04	SRS255995	SAMN00704077
SAMN00704077	PRJNA64287	PY-04	SRS255995	SAMN02141451
SAMN02141452	PRJNA64289	PY-05	SRS256153	SAMN00704239
SAMN00704239	PRJNA64289	PY-05	SRS256153	SAMN02141452
SAMN02141453	PRJNA64291	PY-06	SRS256154	SAMN00704240
SAMN00704240	PRJNA64291	PY-06	SRS256154	SAMN02141453
SAMN02141454	PRJNA64293	PY-07	SRS256155	SAMN00704241
SAMN00704241	PRJNA64293	PY-07	SRS256155	SAMN02141454
SAMN02141455	PRJNA64295	PY-08	SRS256156	SAMN00704242
SAMN00704242	PRJNA64295	PY-08	SRS256156	SAMN02141455
SAMN02141456	PRJNA64297	PY-09	SRS256157	SAMN00704243
SAMN00704243	PRJNA64297	PY-09	SRS256157	SAMN02141456
SAMN02141457	PRJNA64299	PY-10	SRS256158	SAMN00704244
SAMN00704244	PRJNA64299	PY-10	SRS256158	SAMN02141457
SAMN02141502	PRJNA64389	PY-100	SRS256167	SAMN00704253
SAMN00704253	PRJNA64389	PY-100	SRS256167	SAMN02141502
SAMN02141503	PRJNA64391	PY-101	SRS256168	SAMN00704254
SAMN00704254	PRJNA64391	PY-101	SRS256168	SAMN02141503
SAMN02141504	PRJNA64393	PY-102	SRS256170	SAMN00704256
SAMN00704256	PRJNA64393	PY-102	SRS256170	SAMN02141504
SAMN02141505	PRJNA64395	PY-103	SRS256169	SAMN00704255
SAMN00704255	PRJNA64395	PY-103	SRS256169	SAMN02141505
SAMN02141458	PRJNA64301	PY-11	SRS256160	SAMN00704246
SAMN00704246	PRJNA64301	PY-11	SRS256160	SAMN02141458
SAMN02141506	PRJNA64397	PY-113	SRS256171	SAMN00704257
SAMN00704257	PRJNA64397	PY-113	SRS256171	SAMN02141506
SAMN02141459	PRJNA64303	PY-12	SRS256161	SAMN00704247
SAMN00704247	PRJNA64303	PY-12	SRS256161	SAMN02141459
SAMN02141460	PRJNA64305	PY-13	SRS256162	SAMN00704248
SAMN00704248	PRJNA64305	PY-13	SRS256162	SAMN02141460
SAMN02141461	PRJNA64307	PY-14	SRS256163	SAMN00704249
SAMN00704249	PRJNA64307	PY-14	SRS256163	SAMN02141461
SAMN02141462	PRJNA64309	PY-15	SRS256164	SAMN00704250
SAMN00704250	PRJNA64309	PY-15	SRS256164	SAMN02141462
SAMN02141463	PRJNA64311	PY-16	SRS256165	SAMN00704251
SAMN00704251	PRJNA64311	PY-16	SRS256165	SAMN02141463
SAMN02141464	PRJNA64313	PY-19	SRS256166	SAMN00704252
SAMN00704252	PRJNA64313	PY-19	SRS256166	SAMN02141464
SAMN02141465	PRJNA64315	PY-25	SRS256179	SAMN00704265
SAMN00704265	PRJNA64315	PY-25	SRS256179	SAMN02141465
SAMN02141466	PRJNA64317	PY-29	SRS256180	SAMN00704266
SAMN00704266	PRJNA64317	PY-29	SRS256180	SAMN02141466
SAMN02141467	PRJNA64319	PY-32	SRS256183	SAMN00704269
SAMN00704269	PRJNA64319	PY-32	SRS256183	SAMN02141467
SAMN02141468	PRJNA64321	PY-34	SRS256181	SAMN00704267
SAMN00704267	PRJNA64321	PY-34	SRS256181	SAMN02141468
SAMN02141469	PRJNA64323	PY-36	SRS256182	SAMN00704268
SAMN00704268	PRJNA64323	PY-36	SRS256182	SAMN02141469
SAMN02141470	PRJNA64325	PY-42	SRS256184	SAMN00704270
SAMN00704270	PRJNA64325	PY-42	SRS256184	SAMN02141470
SAMN02141471	PRJNA64327	PY-45	SRS256186	SAMN00704272
SAMN00704272	PRJNA64327	PY-45	SRS256186	SAMN02141471
SAMN02141472	PRJNA64329	PY-46	SRS256191	SAMN00704277
SAMN00704277	PRJNA64329	PY-46	SRS256191	SAMN02141472
SAMN02141473	PRJNA64331	PY-47	SRS256187	SAMN00704273
SAMN00704273	PRJNA64331	PY-47	SRS256187	SAMN02141473
SAMN02141474	PRJNA64333	PY-48	SRS256192	SAMN00704278
SAMN00704278	PRJNA64333	PY-48	SRS256192	SAMN02141474
SAMN02141475	PRJNA64335	PY-52	SRS256190	SAMN00704276
SAMN00704276	PRJNA64335	PY-52	SRS256190	SAMN02141475
SAMN02141476	PRJNA64337	PY-53	SRS256188	SAMN00704274
SAMN00704274	PRJNA64337	PY-53	SRS256188	SAMN02141476
SAMN02141477	PRJNA64339	PY-54	SRS256185	SAMN00704271
SAMN00704271	PRJNA64339	PY-54	SRS256185	SAMN02141477
SAMN02141478	PRJNA64341	PY-55	SRS256189	SAMN00704275
SAMN00704275	PRJNA64341	PY-55	SRS256189	SAMN02141478
SAMN02141479	PRJNA64343	PY-56	SRS256199	SAMN00704285
SAMN00704285	PRJNA64343	PY-56	SRS256199	SAMN02141479
SAMN02141480	PRJNA64345	PY-58	SRS256193	SAMN00704279
SAMN00704279	PRJNA64345	PY-58	SRS256193	SAMN02141480
SAMN02141481	PRJNA64347	PY-59	SRS256194	SAMN00704280
SAMN00704280	PRJNA64347	PY-59	SRS256194	SAMN02141481
SAMN02141482	PRJNA64349	PY-60	SRS256200	SAMN00704286
SAMN00704286	PRJNA64349	PY-60	SRS256200	SAMN02141482
SAMN02141483	PRJNA64351	PY-61	SRS256195	SAMN00704281
SAMN00704281	PRJNA64351	PY-61	SRS256195	SAMN02141483
SAMN02141484	PRJNA64353	PY-63	SRS256196	SAMN00704282
SAMN00704282	PRJNA64353	PY-63	SRS256196	SAMN02141484
SAMN02141485	PRJNA64355	PY-64	SRS256197	SAMN00704283
SAMN00704283	PRJNA64355	PY-64	SRS256197	SAMN02141485
SAMN02141486	PRJNA64357	PY-65	SRS256201	SAMN00704287
SAMN00704287	PRJNA64357	PY-65	SRS256201	SAMN02141486
SAMN02141487	PRJNA64359	PY-66	SRS256198	SAMN00704284
SAMN00704284	PRJNA64359	PY-66	SRS256198	SAMN02141487
SAMN02141488	PRJNA64361	PY-71	SRS256202	SAMN00704288
SAMN00704288	PRJNA64361	PY-71	SRS256202	SAMN02141488
SAMN02141489	PRJNA64363	PY-72	SRS256203	SAMN00704289
SAMN00704289	PRJNA64363	PY-72	SRS256203	SAMN02141489
SAMN02141490	PRJNA64365	PY-76	SRS256204	SAMN00704290
SAMN00704290	PRJNA64365	PY-76	SRS256204	SAMN02141490
SAMN02141491	PRJNA64367	PY-88	SRS256205	SAMN00704291
SAMN00704291	PRJNA64367	PY-88	SRS256205	SAMN02141491
SAMN02141492	PRJNA64369	PY-89	SRS256206	SAMN00704292
SAMN00704292	PRJNA64369	PY-89	SRS256206	SAMN02141492
SAMN02141493	PRJNA64371	PY-90	SRS256207	SAMN00704293
SAMN00704293	PRJNA64371	PY-90	SRS256207	SAMN02141493
SAMN02141494	PRJNA64373	PY-91	SRS256208	SAMN00704294
SAMN00704294	PRJNA64373	PY-91	SRS256208	SAMN02141494
SAMN02141495	PRJNA64375	PY-92	SRS256209	SAMN00704295
SAMN00704295	PRJNA64375	PY-92	SRS256209	SAMN02141495
SAMN02141496	PRJNA64377	PY-93	SRS256215	SAMN00706751
SAMN00706751	PRJNA64377	PY-93	SRS256215	SAMN02141496
SAMN02141497	PRJNA64379	PY-94	SRS256216	SAMN00706752
SAMN00706752	PRJNA64379	PY-94	SRS256216	SAMN02141497
SAMN02141498	PRJNA64381	PY-95	SRS256217	SAMN00706753
SAMN00706753	PRJNA64381	PY-95	SRS256217	SAMN02141498
SAMN02141499	PRJNA64383	PY-96	SRS256218	SAMN00706754
