id	BioProject_id	BioProjectAccession	BioProjectDataType	BioProjectDescription	BioProjectMethodType	BioProjectName	BioProjectTargetCapture	BioProjectTargetMaterial	BioProjectTargetScope	BioProjectTitle	BioProjectType	BioProjectOrganismLabel	BioProjectOrganismStrain	BioProjectSupergroup	BioProjectTaxonomicID	BioProjectRegistrationDate	BioProjectRelevanceMedical	BioProjectSequencingStatus	BioProjectSubmitterOrganization	BioProjectComment
1	552616	PRJNA552616	Other	The plague agent, Yersinia pestis, employs a type III secretion system (T3SS) to selectively destroy human immune cells, thereby enabling its replication in the bloodstream and transmission to new hosts via fleabite. The host factors responsible for the selective destruction of immune cells by plague bacteria were not known. Here we show that LcrV, the needle cap protein of the Y. pestis T3SS, binds N-formylpeptide receptor (FPR1) on human immune cells to promote the translocation of bacterial effectors. Overall design: Y. pestis AM18, a DyfeAB variant of the vaccine strain EV76, is defective for iron and manganese scavenging. In broth cultures, Y. pestis AM18 secretes the T3SS effector named YopE via the lcrV-dependent T3SS pathway. Compared with the DlcrV variant (AM46), which cannot kill immune cells above control levels, Y. pestis AM18 infection resulted in modest killing of U937 human histiocytic leukemia cells differentiated into macrophages (U937 cells). Y. pestis POO1 is a variant of AM18 expressing yopE-dtx, a translational hybrid between the YopE effector and the mature domain of diphtheria toxin. Dtx is an ADP-ribosyltransferase that modifies elongation factor 2 (EF2) at its diphthamide residue to promote cell death. Y. pestis POO1 secretes YopE-Dtx and causes death of U937 macrophages in an lcrV-dependent manner. U937 cells were transduced with lentiviral libraries expressing RNA guided endonuclease Cas9 and short guide RNAs (sgRNA – 3 per gene) targeting 19,052 genes. After 12 hours of infection with Y. pestis POO1 or POO2 (yopE-dtx ΔlcrV), resistant cells were cultured with antibiotics to approximately 70% confluence and re-infected. The sgRNA sequences from surviving U937 cells were identified via next-generation sequencing (NGS) and candidate genes ranked based on the number of unique sgRNAs versus NGS reads. FPR1 stood out in three independent screens with the most abundant sgRNAs. FPR1 is a member of the GPCR family that activates immune cell chemotaxis and cytokine release in response to N-formylpeptides contained in bacteria or mitochondria.	Other	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	Whole	Other	Multiisolate	CRISPR-Cas9 mutagenesis of U937 cells for variants resistant to Yersinia pestis intoxication	Primary submission	None	None	Eukaryotes	9606	2019/07/03 00:00	Yes	SRA/Trace	Center for Research Informatics, The University of Chicago	None
2	551087	PRJNA551087	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I_3269	Whole	Genome	Monoisolate	Yersinia pestis strain:I_3269 Genome sequencing and assembly	Primary submission	None	I_3269	Bacteria	632	2019/07/02 00:00	None	Contigs	Russian Research Anti-Plague institute "Microbe"	None
3	551086	PRJNA551086	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I_3196	Whole	Genome	Monoisolate	Yersinia pestis strain:I_3196 Genome sequencing and assembly	Primary submission	None	I_3196	Bacteria	632	2019/07/02 00:00	None	Contigs	Russian Research Anti-Plague institute "Microbe"	None
4	551085	PRJNA551085	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I_3193	Whole	Genome	Monoisolate	Yersinia pestis strain:I_3193 Genome sequencing and assembly	Primary submission	None	I_3193	Bacteria	632	2019/07/02 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
5	550535	PRJNA550535	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I_3068	Whole	Genome	Monoisolate	Yersinia pestis strain:I_3068 Genome sequencing and assembly	Primary submission	None	I_3068	Bacteria	632	2019/06/30 00:00	None	Contigs	Russian Research Anti-Plague institute "Microbe"	None
6	548232	PRJNA548232	Genome sequencing and assembly	Yersinia pestis C-11	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Genome sequencing	Primary submission	None	None	Bacteria	632	2019/06/16 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
7	545443	PRJEB29991	Other	The first historically documented pandemic caused by Yersinia pestis began as the Justinianic Plague in 541 within the Roman Empire and continued as the so-called First Pandemic until 750. Although paleogenomic studies have previously identified the causative agent as Y. pestis, little is known about the bacterium’s spread, diversity, and genetic history over the course of the pandemic. To elucidate the microevolution of the bacterium during this time period, we screened human remains from 21 sites in Austria, Britain, Germany, France, and Spain for Y. pestis DNA and reconstructed eight genomes. We present a methodological approach assessing single-nucleotide morphisms (SNPs) in ancient bacterial genomes, facilitating qualitative analyses of low coverage genomes from a metagenomic background. Phylogenetic analysis on the eight reconstructed genomes reveals the existence of previously undocumented Y. pestis diversity during the sixth to eighth centuries, and provides evidence for the presence of multiple distinct Y. pestis strains in Europe. We offer genetic evidence for the presence of the Justinianic Plague in the British Isles, previously only hypothesized from ambiguous documentary accounts, as well as the parallel occurrence of multiple derived strains in central and southern France, Spain, and southern Germany. Four of the reported strains form a polytomy similar to others seen across the Y. pestis phylogeny, associated with the Second and Third Pandemics. We identified a deletion of a 45-kb genomic region in the most recent First Pandemic strains affecting two virulence factors, intriguingly overlapping with a deletion found in 17th- to 18th-century genomes of the Second Pandemic.	Sequencing	Ancient Y. pestis genomes (First Pandemic)	Whole	Genome	Monoisolate	Ancient Yersinia pestis genomes from across Western Europe reveal early diversification during the First Pandemic (541–750)	Primary submission	None	None	None	0	2019/05/30 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History	None
8	534260	PRJNA534260	Transcriptome or Gene expression	Gasdermin-D (GSDMD) is cleaved by caspase-1/4/11 in response to canonical and non-canonical inflammasome activation. Upon cleavage, GSDMD oligomerizes and forms membrane pores, resulting in IL-1Î² secretion, pyroptotic cell death and inflammatory pathologies including periodic fever syndromes and septic shock â a plague on modern medicine. The transcriptional machinery that drives the expression of GSDMD is unknown. Here we show that IRF2, a member of the interferon-regulatory factor (IRF) family, is essential for the transcriptional activation of GSDMD. A forward genetic screen with ethyl-N-nitrosourea (ENU)-mutagenized mice unequivocally linked IRF2 to inflammasome signaling. Indeed, GSDMD transcript levels were highly attenuated in Irf2â/â macrophages upon Irf2 deficiency in macrophages, endothelial cells, and multiple organs, corresponding to attenuated IL-1Î² secretion and inhibited pyroptosis. Mechanistically, IRF2 binds a previously uncharacterized site within the GSDMD promoter to directly drive GSDMD transcription for execution of pyroptosis in response to canonical and non-canonical inflammasome activation. Our data illuminate a prominent transcriptional mechanism for the expression of GSDMD, a key mediator of inflammatory pathologies. Overall design: RNA was extracted from HOXB-8 cells for the following genotypes - Irf2 wild type (Parental) and Irf2 knock out(IRF2 KO).	Sequencing	Differences in gene expression between WT and IRF2 KO cells	Whole	Transcriptome	Multiisolate	Differences in gene expression between WT and IRF2 KO cells	Primary submission	None	None	Eukaryotes	10090	2019/04/23 00:00	None	SRA/Trace	Genentech	None
9	529447	PRJNA529447	Genome sequencing and assembly	Vibrio parahaemolyticus 16763	Sequencing	Vibrio parahaemolyticus strain:16763	Whole	Genome	Monoisolate	Vibrio parahaemolyticus strain:16763 Genome sequencing	Primary submission	None	16763	Bacteria	670	2019/04/19 00:00	None	Contigs	Research Institute for Plague Control	None
10	527024	PRJNA527024	Genome sequencing and assembly	Vibrio cholerae str. 1	Sequencing	Vibrio cholerae strain:1	Whole	Genome	Monoisolate	Vibrio cholerae strain:1 Genome sequencing	Primary submission	None	1	Bacteria	666	2019/03/19 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
