BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleOrganism	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleComment			
SAMN02602918		548	Brucella melitensis 548			04-Sep-48	Russia: Saratov region	Ovis aries	REMOVE: Not Yersinia pestis			
SAMN02640258			Oropsylla silantiewi	SRS557313		Dec-12	"China: Huzhu County, Qinghai"	Marmota himalayana	REMOVE: Not Yersinia pestis			
SAMN10484567		Jan-81	Bacillus anthracis	SRS4873497		1979	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN02640305		1330	Brucella suis 1330			unknown	unknown	unknown	REMOVE: Not Yersinia pestis			
SAMEA104443954			Aphanomyces astaci	ERS2061896			Czech Republic		REMOVE: Not Yersinia pestis			
SAMEA104567043			Yersinia phage fEV-1	ERS2178327					REMOVE: Not Yersinia pestis			
SAMN11267087		16763	Vibrio parahaemolyticus			1978	USSR: Kerch	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN11125798		1	Vibrio cholerae			1998	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN11125784		286	Vibrio cholerae			1994	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN11125768		157D	Vibrio cholerae			1993	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN11125682		123AZ	Vibrio cholerae			1977	Azerbaijan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN11125653		180D	Vibrio cholerae			1970	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN11029208		20000	Vibrio cholerae			2016	"Russia: Rostov-on-Don, Rostov region, 344002"		REMOVE: Not Yersinia pestis			
SAMN10584523		C-615	Brucella abortus			2017	Russia	Cow	REMOVE: Not Yersinia pestis			
SAMN10584522		C-614	Brucella abortus			2017	Russia	Cow	REMOVE: Not Yersinia pestis			
SAMN10584495		C-613	Brucella abortus			2017	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN10584459		C-612	Brucella abortus			2017	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN10584386		N1	Brucella abortus			29-Jan-18	Russia: Samara	cow	REMOVE: Not Yersinia pestis			
SAMN09397111		IP2666pIB1	Yersinia pseudotuberculosis	SRS3938234		01-Jan-18	USA: Santa Cruz		REMOVE: Not Yersinia pestis			
SAMN10340333		9760	Vibrio cholerae			1975	Russia: Rostov-on-Don	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09464368		4802	Burkholderia pseudomallei	SRS3557498		Oct-17	Viet Nam		REMOVE: Not Yersinia pestis			
SAMN09464366		4811R	Burkholderia pseudomallei	SRS3557495		Apr-18	Viet Nam		REMOVE: Not Yersinia pestis			
SAMN09464365		4802R	Burkholderia pseudomallei	SRS3557499		Apr-18	Viet Nam		REMOVE: Not Yersinia pestis			
SAMN09464363		4811	Burkholderia pseudomallei	SRS3557496		Oct-17	Viet Nam		REMOVE: Not Yersinia pestis			
SAMN09111775		10213D	Vibrio cholerae			1994-10-18	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09464367		PT02	Burkholderia cepacia			Feb-18	Viet Nam	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09464364		1701	Burkholderia pseudomallei			Mar-17	Viet Nam	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09245989		8600	Shigella sonnei			2013-10-27	missing	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09111788		16241D	Vibrio cholerae			1994	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09104983		1270D	Vibrio cholerae			1994-08-20	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09104938		169D	Vibrio cholerae			1993-07-15	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN09104650		41D	Vibrio cholerae			1998-10-17	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08999467		Ogawa 18963	Vibrio cholerae O1 biovar El Tor			2007	Russia: Rostov-on-Don	missing	REMOVE: Not Yersinia pestis			
SAMN08999468		9507	Vibrio cholerae			1974	Russia: Rostov-on-Don	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08741635		3178	Vibrio cholerae			2017	Russia: Elista		REMOVE: Not Yersinia pestis			
SAMN08741634		2843	Vibrio cholerae			2016	Russia: Elista		REMOVE: Not Yersinia pestis			
SAMN08741633		8	Vibrio cholerae			2014	Russia: Elista		REMOVE: Not Yersinia pestis			
SAMN08741629		M1332	Vibrio cholerae			2000	Russia: Chelyabinsk	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08741628		124	Vibrio cholerae			2015	Russia: Elista		REMOVE: Not Yersinia pestis			
SAMN08741626		2688	Vibrio cholerae			2015	Russia: Elista		REMOVE: Not Yersinia pestis			
SAMN08741624		2687	Vibrio cholerae			2015	Russia: Elista		REMOVE: Not Yersinia pestis			
SAMN08741622		2613	Vibrio cholerae			2015	Russia: Elista	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08741621		M1425	Vibrio cholerae			2003	Russia: Perm	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08734606		186	Vibrio cholerae			2011	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08731626		20-a_11	Vibrio cholerae			1995	Ukraine: Mykolaiv Oblast	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08721838		2044	Vibrio cholerae			1966	Iraq: Bagdad	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN08395532		5879	Vibrio cholerae			1972	Russia: Taganrog	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06075482	PRJNA355374	I-136	Brucella melitensis			1959	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07510740		I-308	Brucella melitensis			1986	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07510738		I-370	Brucella melitensis			2010	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07510723		I-340	Brucella melitensis			1995	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07510711		I-194	Brucella melitensis			1965	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07498437		I-280	Brucella melitensis			1983	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07498373		I-160	Brucella melitensis			1961	Russia	Ovis aries	REMOVE: Not Yersinia pestis			
SAMN07286087	PRJNA392236		human blood metagenome	SRS2320268		28-Feb-17	not applicable	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07286086	PRJNA392236		human blood metagenome	SRS2320267		20-Feb-17	not applicable	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN05386328	PRJNA328937	BALB/c	Mus musculus	SRS1560275					REMOVE: Not Yersinia pestis			
SAMN05386327	PRJNA328937	BALB/c	Mus musculus	SRS1560274					REMOVE: Not Yersinia pestis			
SAMN05386326	PRJNA328937	BALB/c	Mus musculus	SRS1560273					REMOVE: Not Yersinia pestis			
SAMN05386325	PRJNA328937	BALB/c	Mus musculus	SRS1560272					REMOVE: Not Yersinia pestis			
SAMN05386324	PRJNA328937	BALB/c	Mus musculus	SRS1560271					REMOVE: Not Yersinia pestis			
SAMN05386323	PRJNA328937	BALB/c	Mus musculus	SRS1560270					REMOVE: Not Yersinia pestis			
SAMN05386322	PRJNA328937	BALB/c	Mus musculus	SRS1560269					REMOVE: Not Yersinia pestis			
SAMN05386321	PRJNA328937	BALB/c	Mus musculus	SRS1560267					REMOVE: Not Yersinia pestis			
SAMN05386320	PRJNA328937	BALB/c	Mus musculus	SRS1560268					REMOVE: Not Yersinia pestis			
SAMN05386319	PRJNA328937	BALB/c	Mus musculus	SRS1560266					REMOVE: Not Yersinia pestis			
SAMN05386318	PRJNA328937	BALB/c	Mus musculus	SRS1560265					REMOVE: Not Yersinia pestis			
SAMN05386317	PRJNA328937	BALB/c	Mus musculus	SRS1560264					REMOVE: Not Yersinia pestis			
SAMN05386316	PRJNA328937	BALB/c	Mus musculus	SRS1560263					REMOVE: Not Yersinia pestis			
SAMN05386315	PRJNA328937	BALB/c	Mus musculus	SRS1560262					REMOVE: Not Yersinia pestis			
SAMN05386314	PRJNA328937	BALB/c	Mus musculus	SRS1560261					REMOVE: Not Yersinia pestis			
SAMN05386313	PRJNA328937	BALB/c	Mus musculus	SRS1560258					REMOVE: Not Yersinia pestis			
SAMN05386312	PRJNA328937	BALB/c	Mus musculus	SRS1560260					REMOVE: Not Yersinia pestis			
SAMN05386311	PRJNA328937	BALB/c	Mus musculus	SRS1560259					REMOVE: Not Yersinia pestis			
SAMN07192613		P-18778	Vibrio cholerae			2005	Russia: Rostov-on-Done	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN07192612		P-18748	Vibrio cholerae			2004	Russia: Sochi	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06075487		I-338	Brucella melitensis			1993	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06075483		I-216	Brucella melitensis			1970	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN05823560		I-349	Brucella melitensis			1999	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN05823553		KIV-L	Brucella melitensis			2014	Russia	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06711158		617	Vibrio cholerae			missing	Ukraine: Piatikhatskii district	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806565		M1337	Vibrio cholerae			not collected	Russia: Astrakhan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806563		34Kayum	Vibrio cholerae			not collected	Afghanistan: Kabul	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806560		M1509	Vibrio cholerae			not collected	Russia: Moscow	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806559		M1344	Vibrio cholerae			not collected	Russia: Kazan	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806481		M1030	Vibrio cholerae			not collected	Turkmenistan: Yoloten	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806440		433	Vibrio cholerae			not collected	Russia: Sochi	missing	REMOVE: Not Yersinia pestis			
SAMN06806439		2403	Vibrio cholerae			not collected	Ukraine: Odessa	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06806438		85	Vibrio cholerae			not collected	Ukraine: Berdiansk	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06768535		155	Vibrio cholerae			not collected	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis			
SAMN06768135		223	Vibrio cholerae			not collected	Ukraine: Nizhnie Serogozy	missing	REMOVE: Not Yersinia pestis			
SAMN06768133		89	Vibrio cholerae			Sep-16	Ukraine: Yalta	missing	REMOVE: Not Yersinia pestis			
SAMN06768132		147	Vibrio cholerae			Sep-16	Ukraine: Yalta	missing	REMOVE: Not Yersinia pestis			
SAMN06768131		114	Vibrio cholerae			Sep-16	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis			
