Name	UFboot	aLRT	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	Mugration_Branch_Major	Mugration_Branch_Major_Confidence	Mugration_Branch_Minor	Mugration_Branch_Minor_Confidence
NODE0	97.0	80.4	0.0	red	0.0	507.0625992020938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bronze Age	0.9987083317939826	Bronze Age	0.9992258554852776
NODE1	100.0	98.9	3.2547000000000004e-06	red	3.2547000000000004e-06	491.1251984041875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.PE	0.9985973141023511	0.PE7	0.39451133294729174
NODE2	100.0	100.0	1.07393e-05	red	1.3994e-05	466.7503968083751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.PE	0.9999980084998576	0.PE2	0.47911535395466964
NODE3	100.0	100.0	7.8928e-06	red	2.18868e-05	432.62725846050006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.PE	0.9999980485241518	0.PE4	0.21633604509702753
NODE4	100.0	95.3	1.1722e-06	red	2.3059e-05	399.8040774678751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.PE	0.9986130104922933	0.PE5	0.4931653054782672
NODE5	100.0	100.0	4.720400000000001e-06	red	2.77794e-05	370.4362799357502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.ANT	0.9958557195380077	0.ANT1	0.47664599319160095
NODE6	100.0	96.9	1.4066e-06	red	2.9185999999999998e-05	324.47105845431116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.ANT	0.9958448772566167	First Pandemic	0.47543051674918807
NODE7	100.0	100.0	3.751e-06	red	3.2937e-05	314.95334737737244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.ANT	0.9999941971796122	0.ANT2	0.47313127071562316
NODE8	86.0	0.0	2.3399999999999998e-08	black	3.29604e-05	308.4066947547448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.ANT	0.9999980354396482	0.ANT5	0.46234658749369634
NODE9	100.0	86.2	4.689e-07	red	3.3429299999999995e-05	298.31338950948964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.ANT	0.9986151558139172	0.ANT3	0.3921290750432126
NODE10	100.0	90.0	7.033e-07	red	3.4132599999999986e-05	283.5017790189793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.9987240896619335	Second Pandemic	0.9991956844553913
NODE11	37.0	67.7	2.3399999999999998e-08	black	3.415599999999999e-05	259.00355803795856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.9999836996411122	Second Pandemic	0.9999865709151601
NODE12	32.0	0.0	2.3399999999999998e-08	black	3.4179399999999987e-05	215.26395201341708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.9992332177148661	Second Pandemic	0.9993399693810162
NODE13	72.0	74.7	2.344e-07	black	3.4413799999999986e-05	168.74524640354318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.999999116554306	Second Pandemic	0.9999991617689452
NODE14	18.0	0.0	2.3399999999999998e-08	black	3.443719999999998e-05	156.3817281586489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.9999999851711856	Second Pandemic	0.9999999590464349
NODE15	95.0	91.8	4.689e-07	red	3.490609999999998e-05	154.76345631729782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.9999999851632976	Second Pandemic	0.9999999584414448
NODE16	95.0	73.6	2.344e-07	black	3.514049999999998e-05	153.02691263459562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.9999991255205019	Second Pandemic	0.9999987992963821
NODE17	99.0	77.5	7.3e-07	black	3.587049999999998e-05	151.0538252691913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Second Pandemic	0.999241608358134	Second Pandemic	0.9991172317177772
NODE18	100.0	86.9	1.3912000000000001e-06	red	3.726169999999998e-05	148.1076505383826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ANT	0.3335550819595453	1.ANT1	0.33187833744150785
NODE19	100.0	99.9	2.5787999999999998e-06	red	3.9840499999999986e-05	145.46530107676514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9992245113320258	1.IN1	0.9991437821064082
NODE20	55.0	0.0	2.3399999999999998e-08	black	3.986389999999998e-05	143.93060215353034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9999990887663543	1.IN1	0.9999930147594379
NODE21	45.0	0.0	2.3399999999999998e-08	black	3.988729999999998e-05	141.8612043070607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9999999880178455	1.IN1	0.9985669908312648
NODE22	100.0	77.4	2.344e-07	black	4.012169999999998e-05	138.72240861412138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9999999890497729	1.IN2	0.9985283002536094
NODE23	31.0	0.0	2.3399999999999998e-08	black	4.0145099999999976e-05	133.94481722824275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9999999890509561	1.IN2	0.9999977932848735
NODE24	10.0	0.0	2.3399999999999998e-08	black	4.0168499999999966e-05	128.3505719564855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.999999989059658	1.IN2	0.9999978024210336
NODE25	22.0	0.0	2.3399999999999998e-08	black	4.019189999999997e-05	125.70114391297102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9999999868737692	1.IN2	0.9985317468023481
NODE26	100.0	85.2	2.344e-07	red	4.042629999999997e-05	122.27728782594204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9999983091858791	1.IN3	0.9958229261014678
NODE27	100.0	74.4	2.344e-07	black	4.066069999999997e-05	118.55457565188408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.IN	0.9987032390978688	1.IN3	0.9958239602338158
NODE28	100.0	100.0	3.751e-06	red	4.4411699999999966e-05	113.10719817876816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9985265746044427	1.ORI1	0.9984233109177149
NODE29	32.0	0.0	2.3399999999999998e-08	black	4.443509999999997e-05	111.21439635753632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999978179122514	1.ORI1	0.9999974753320674
NODE30	15.0	0.0	2.3399999999999998e-08	black	4.4458499999999954e-05	108.42879271507263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.999999985474589	1.ORI1	0.9999999556010134
NODE31	14.0	0.0	2.3399999999999998e-08	black	4.448189999999996e-05	103.85758543014526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886650657	1.ORI1	0.9999999594924528
NODE32	12.0	0.0	2.3399999999999998e-08	black	4.4505299999999955e-05	95.71517086029051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571511	1.ORI1	0.9999999554911297
NODE33	5.0	0.0	2.3399999999999998e-08	black	4.452869999999995e-05	82.05534172058104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.ORI	0.9999999886571435	1.ORI1	0.9999974422392042
