#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-4178.9	57444.7	22529.7	146468.5
-3852.8	77526.9	38991.1	154148.9
-3526.8	92238.6	45670.6	186289.4
-3200.7	105473.1	54981.4	202333.4
-2874.7	124144.5	64567.4	238694.4
-2548.7	134670.4	69214.0	262029.6
-2222.6	140048.6	70673.7	277523.7
-1896.6	144283.4	74734.8	278554.6
-1570.5	186682.5	95458.2	365085.3
-1244.5	256054.3	131423.6	498874.0
-918.4	267331.5	131812.8	542179.1
-592.4	277479.0	136431.5	564346.3
-266.3	273524.8	146324.0	511302.3
59.7	238184.8	127194.0	446027.3
385.8	206833.8	116129.6	368383.6
711.8	217128.4	126275.2	373349.1
1037.9	369416.3	241339.8	565461.8
1363.9	471515.9	329442.0	674860.2
1690.0	1563523.5	1327711.5	1841217.4
2016.0	341721.6	271082.9	430767.2
