#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-4117.9	57975.6	22536.3	149144.7
-3794.9	74535.2	37556.9	147922.1
-3471.9	100653.3	52954.1	191318.3
-3148.9	114093.3	55845.8	233093.3
-2825.9	114634.8	60124.3	218566.2
-2502.9	109877.4	56450.9	213868.1
-2179.9	111162.3	55874.5	221157.2
-1856.9	114510.9	59134.3	221745.1
-1533.9	156155.8	79409.9	307073.0
-1211.0	210370.9	107347.2	412268.6
-888.0	221686.7	109306.7	449606.0
-565.0	233529.9	114805.8	475030.3
-242.0	243121.1	128649.6	459448.6
81.0	213803.9	112843.8	405091.8
404.0	250073.2	135402.2	461858.1
727.0	242747.3	137229.5	429399.4
1050.0	295919.2	186713.4	468997.6
1373.0	594736.5	424284.9	833665.2
1696.0	1493656.7	1147945.6	1943480.8
2019.0	1770172.2	1312450.4	2387526.1
