BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN13259076			347-16	2016	Homo sapiens	Russia: Kislovodsk													
SAMN08162039		SRR6367135	Yp3994	1966	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Serra Sitio Novo												2018-12-13 00:38:00	
SAMN08162038		SRR6367029	Yp3992	1986	Calomys callosus	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Paraiso												2018-12-13 00:38:02	
SAMN08162037		SRR6367027	Yp3990	1983	Galea spixii wellsi	Brazil:Ceara,Baturite,Mulungu,Sitio Camara												2018-12-13 00:38:02	
SAMN08162036		SRR6367033	Yp3987	1982	Bolomys lasiurus	Brazil:Ceara,Ipu,Ipueiras,Sitio Baixa Nova												2018-12-13 00:38:02	
SAMN08162035		SRR6367032	Yp3983	1982	Bolomys lasiurus	Brazil:Ceara,Ipu,Ipueiras,Sitio Almas												2018-12-13 00:38:02	
SAMN08162034		SRR6367031	Yp3982	1982	Bolomys lasiurus	Brazil:Ceara,Baturite,Aratuba,Sitio Outeiro												2018-12-13 00:38:02	
SAMN08162033		SRR6367030	Yp3981	1982	Pulex irritans	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Garrancho Velho												2018-12-13 00:38:02	
SAMN08162032		SRR6367037	Yp3979	1980	Bolomys lasiurus	Brazil:Ceara,Ipu,Ipueiras,Sitio Santa Maria												2018-12-13 00:38:02	
SAMN08162031		SRR6367036	Yp3978	1980	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:38:02	
SAMN08162030		SRR6367035	Yp3977	1979	rodent	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:38:02	
SAMN08162029		SRR6367034	Yp3975	1979	Bolomys lasiurus	Brazil:Ceara,Ipu,Ipu,Sitio Tabocal												2018-12-13 00:38:02	
SAMN08162028		SRR6366831	Yp3974	1984	Xenopsylla cheopis	Brazil:Bahia,Feira de Santana,Feira de Santana,Fazenda Jurema I												2018-12-13 00:37:58	
SAMN08162027		SRR6366830	Yp3972	1986	Cerradomys subflavus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua												2018-12-13 00:37:58	
SAMN08162026		SRR6366837	Yp3971	1986	Rattus rattus frugivorus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas												2018-12-13 00:37:58	
SAMN08162025		SRR6366836	Yp3967	1986	Bolomys lasiurus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua												2018-12-13 00:37:58	
SAMN08162024		SRR6366835	Yp3959	1982	Bolomys lasiurus	Brazil:Paraiba,Itabaiana,Salgado de Sao Felix,Engenho Covao												2018-12-13 00:37:58	
SAMN08162023		SRR6366834	Yp3958	1982	Bolomys lasiurus	Brazil:Pernambuco,Garanhuns,Caetes,Sitio Riacho Fundo												2018-12-13 00:37:58	
SAMN08162022		SRR6366841	Yp3952	1979	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:37:57	
SAMN08162021		SRR6366840	Yp3951	1979	Polygenis	Brazil:Pernambuco,Vale do Ipojuca,Tacaimbo,Sitio Paulista												2018-12-13 00:37:58	
SAMN08162020		SRR6366839	Yp3950	1979	Polygenis	Brazil:Pernambuco,Vale do Ipojuca,Sao Caitano,Sitio Campo Alegre												2018-12-13 00:37:58	
SAMN08162019		SRR6367133	Yp3949	1979	Cerradomys subflavus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Lagoa do Almeida												2018-12-13 00:38:00	
SAMN08162018		SRR6366814	Yp3947	1979	Polygenis	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Boqueirao												2018-12-13 00:37:58	
SAMN08162017		SRR6366825	Yp3935	1978	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Sao Jose dos Pilotos												2018-12-13 00:37:58	
SAMN08162016		SRR6366955	Yp3931	1978	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Jardim												2018-12-13 00:37:54	
SAMN08162015		SRR6366956	Yp3925	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Granito,Sitio Catumbi												2018-12-13 00:37:54	
SAMN08162014		SRR6366957	Yp3924	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Vicente												2018-12-13 00:37:54	
SAMN08162013		SRR6366958	Yp3905	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Povoado Serra Branca												2018-12-13 00:37:54	
SAMN08162012		SRR6366951	Yp3901	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci												2018-12-13 00:37:54	
SAMN08162011		SRR6366952	Yp3899	1975	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:37:54	
SAMN08162010		SRR6366953	Yp3892	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Cachoeira												2018-12-13 00:37:54	
SAMN08162009		SRR6366954	Yp3884	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Cana Mansa												2018-12-13 00:37:54	
SAMN08162008		SRR6366824	Yp3872	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:58	
SAMN08162007		SRR6366823	Yp3867	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio												2018-12-13 00:37:58	
SAMN08162006		SRR6366820	Yp3866	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Bras												2018-12-13 00:37:58	
SAMN08162005		SRR6366819	Yp3865	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:58	
SAMN08162004		SRR6366822	Yp3862	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Louvado												2018-12-13 00:37:58	
SAMN08162003		SRR6366821	Yp3860	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Louvado												2018-12-13 00:37:58	
SAMN08162002		SRR6366816	Yp3858	1974	Rattus rattus alexandrinus	Brazil:Ceara,Cariri,Santana do Cariri,Sitio Serra da Palmeira												2018-12-13 00:37:58	
SAMN08162001		SRR6366815	Yp3856	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:58	
SAMN08162000		SRR6366818	Yp3855	1974	Galea spixii wellsi	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:58	
SAMN08161999		SRR6366817	Yp3854	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:58	
SAMN08161998		SRR6366941	Yp3853	1974	Cerradomys subflavus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:54	
SAMN08161997		SRR6366942	Yp3852	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:54	
SAMN08161996		SRR6366939	Yp3851	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161995		SRR6366940	Yp3850	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:54	
SAMN08161994		SRR6366937	Yp3849	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161993		SRR6366938	Yp3848	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161992		SRR6366935	Yp3847	1974	Cerradomys subflavus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161991		SRR6366936	Yp3845	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161990		SRR6366933	Yp3844	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Cruzinha												2018-12-13 00:37:55	
