#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-3996.9	53998.3	21069.7	138389.0
-3680.3	69081.0	34873.5	136842.7
-3363.7	93934.4	49761.6	177318.9
-3047.0	99422.7	48563.4	203546.0
-2730.4	89822.4	47024.4	171572.1
-2413.8	87224.0	45460.0	167356.6
-2097.1	99204.4	49563.0	198565.6
-1780.5	115065.4	59112.3	223981.3
-1463.9	182062.6	94840.1	349501.8
-1147.3	209895.1	102729.1	428856.0
-830.6	214099.5	105565.8	434218.4
-514.0	219613.2	108284.4	445400.9
-197.4	228500.1	118048.9	442293.8
119.2	195773.1	104169.7	367929.5
435.9	164420.7	90995.1	297094.9
752.5	231396.7	130187.7	411286.5
1069.1	215875.4	124123.5	375450.3
1385.7	188294.7	126187.9	280969.0
1702.4	627628.2	525658.6	749378.2
2019.0	280444.8	241596.9	325539.3
