#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-3932.9	53080.3	20860.5	135065.2
-3619.7	66838.8	33462.2	133506.7
-3306.4	89664.9	47148.0	170522.5
-2993.1	97864.6	47902.7	199936.4
-2679.9	86521.5	44797.9	167105.5
-2366.6	83034.6	43327.4	159131.2
-2053.4	94750.9	47587.1	188659.1
-1740.1	112195.6	57568.6	218658.2
-1426.8	176479.1	90622.2	343678.0
-1113.6	210033.6	103254.4	427237.2
-800.3	211232.6	104152.2	428404.0
-487.1	213721.4	105379.3	433451.5
-173.8	219351.2	111720.4	430672.9
139.4	188381.0	100721.2	352333.2
452.7	160394.1	88985.0	289107.9
766.0	229896.8	128990.4	409740.1
1079.2	212972.9	122598.0	369968.9
1392.5	187911.5	126247.6	279694.3
1705.7	632260.1	530876.7	753005.1
2019.0	280915.5	241874.6	326258.0
