#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-20033.1	180381.7	70390.8	462241.6
-18872.4	277277.1	145619.5	527969.2
-17711.8	559808.2	316592.0	989870.9
-16551.2	1204694.6	655873.1	2212758.7
-15390.5	1865493.9	1038183.2	3352074.5
-14229.9	2933592.5	1652874.0	5206667.5
-13069.3	4757256.9	2600468.2	8702853.5
-11908.6	6714441.4	3658556.4	12322817.7
-10748.0	8626557.8	4717814.5	15773723.0
-9587.4	11217557.0	6089278.9	20664776.0
-8426.7	11879035.4	6541563.8	21571521.3
-7266.1	8968240.7	5118609.1	15713124.5
-6105.5	9741123.3	5742512.2	16524036.8
-4944.8	13522361.3	8226567.4	22227284.7
-3784.2	13255864.6	8275972.1	21232302.9
-2623.5	15606314.3	10115671.1	24077201.0
-1462.9	13525508.2	9249693.9	19777884.0
-302.3	10708419.7	7859144.3	14590678.9
858.4	25336037.9	22555580.7	28459246.0
2019.0	1105668.6	771805.9	1583951.5
