BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleOrganism	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleComment
SAMN02602970	PRJNA10638	91001							
SAMN02604042	PRJNA16067	Angola							
SAMN02404398	PRJNA16376	IP275				1995	Madagascar: Ambalavao district		
SAMN02404406	PRJNA16429	FV-1				2001	"USA: near Flagstaff, AZ"		
SAMN02598369	PRJNA16645	Antiqua							
SAMN02598370	PRJNA16646	Nepal516							
SAMN02598373	PRJNA16700	Pestoides F							
SAMN02402990	PRJNA167473	2501					"China: Junggar Basin, Xinjiang"	Rhombomys opimus	
SAMN02404399	PRJNA17681	F1991016							
SAMN02404400	PRJNA17683	E1979001							
SAMN02404401	PRJNA17685	B42003004							
SAMN02404402	PRJNA17687	K1973002							
SAMN02404403	PRJNA17689	MG05-1020							
SAMN02404404	PRJNA17691	UG05-0454							
SAMN02403940	PRJNA18241	CA88-4125							
SAMN01853157	PRJNA184590	64/91		SRS385142		1991	Madagascar: Mahajanga	Homo sapiens	
SAMN01991261	PRJNA194125	4139		SRS424553		1995	USA: NM	cat	
SAMN01991262	PRJNA194125	1866		SRS424552			USA: NM	Squirrel	
SAMN01991263	PRJNA194125	8607116		SRS424551			USA: NM	Dog	
SAMN01991265	PRJNA194125	KUMA (D11)		SRS424549			China: Manchuria		
SAMN01991268	PRJNA194125	1901b		SRS424546		1983	USA: NM	Homo sapiens	
SAMN01991269	PRJNA194125	4954		SRS424521		1987	USA: NM	Homo sapiens	
SAMN01991270	PRJNA194125	4412		SRS429117		1991	USA: NM	Homo sapiens	
SAMN01991271	PRJNA194125	2965		SRS429118		1995	USA: NM	Homo sapiens	
SAMN01991272	PRJNA194125	2055		SRS429125		1998	USA: NM	Homo sapiens	
SAMN01991273	PRJNA194125	2106		SRS429126		2001	USA: NM	Homo sapiens	
SAMN01991274	PRJNA194125	2772		SRS429127		1984	USA: NM	Cat	
SAMN01991275	PRJNA194125	3357		SRS429129		1999	USA: NM	mountain lion	
SAMN01991276	PRJNA194125	AS 2509		SRS429128		2004	USA: NM	Rodent	
SAMN01991277	PRJNA194125	AS 200900596		SRS429130		2009	USA	rabbit	
SAMN01991278	PRJNA194125	V-6486		SRS429131			USA: NM	Llama	
SAMN01991280	PRJNA194125	AS200901509		SRS429134		2009	USA: NM	prairie dog	
SAMN02470616	PRJNA201408	9				1994	India: Surat	Homo sapiens	
SAMN02470617	PRJNA201410	113				1994	India: Surat	Rattus rattus	
SAMN02470613	PRJNA201413	S3				2002	India: Shimla	Homo sapiens	
SAMN02470618	PRJNA201414	24H				1998	India: Hosur	Tatera indica	
