id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSampleType	BioSamplePackage	BioSampleInfraspecies	BioSampleOrganism	BioSampleOrganismAlt	BioSampleSubSpecies	BioSampleStrain	BioSampleTaxonomyID	BioSampleBiovar	BioSampleSerovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostHealthState	BioSampleIsolateNameAlias	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
1	13698233	SAMN13698233				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei 134K	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		134K	28450			2019	Thailand					strain Burkholderia pseudomallei 134 catamine resistant isogenic selectant				2019-12-30T04:50:03.430	2019-12-30T10:38:04.683	2019-12-30T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
2	13698231	SAMN13698231				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei 134	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		134	28450			1985	Thailand	Homo sapiens								2019-12-30T04:31:03.323	2019-12-30T10:33:47.819	2019-12-30T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
3	13680007	SAMN13680007		PRJNA597689		Microbe sample from Burkholderia sp. 4812	Burkholderia sp. 4812	cell culture	Microbe.1.0		Burkholderia sp. 4812	Burkholderia sp. 4812		4812	2692193			2018	Viet Nam					soil				2019-12-26T04:05:03.423	2019-12-26T13:25:03.892	2019-12-26T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
4	13679873	SAMN13679873		PRJNA597674		Microbe sample from Burkholderia sp. 4701	Burkholderia sp. 4701	cell culture	Microbe.1.0		Burkholderia sp. 4701	Burkholderia sp. 4701		4701	2692192			2018	Viet Nam					soil				2019-12-26T02:59:04.063	2019-12-26T13:25:03.857	2019-12-26T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
5	13675363	SAMN13675363				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei 4822	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		4822	28450			2018	Viet Nam					soil				2019-12-24T06:31:04.017	2019-12-24T06:31:04.017	2019-12-24T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
6	13675230	SAMN13675230				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei 4702	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		4702	28450			2018	Viet Nam					soil				2019-12-24T04:10:09.529	2019-12-24T04:10:09.529	2019-12-24T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
7	13632815	SAMN13632815				Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis_9_10		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		9_10	632			1923	Russia: Kichkino, Zavetinsky District, Rostov Region	Homo sapiens	plague			missing		missing		2019-12-19T06:36:03.690	2019-12-23T14:56:11.899	2019-12-19T00:00:00.000	Russian Research Anti-Plague Institute "Microbe"	KEEP: Undetermined
8	13545402	SAMN13545402				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei V1607	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		V1607	28450			2016	Viet Nam	missing								2019-12-12T04:36:13.943	2019-12-12T04:36:13.943	2019-12-12T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
9	13544776	SAMN13544776				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei V1514	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		V1514	28450			2015	Viet Nam	missing								2019-12-12T02:17:12.204	2019-12-12T02:17:12.204	2019-12-12T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
10	13520125	SAMN13520125				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		V1513	28450			2015	Viet Nam	missing								2019-12-10T06:43:03.795	2019-12-10T06:43:03.795	2019-12-10T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
11	13519417	SAMN13519417				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei V1610	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		V1610	28450			2018-01-09	Viet Nam	missing								2019-12-10T04:01:03.087	2019-12-10T04:01:03.087	2019-12-10T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
12	13519304	SAMN13519304				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei V1502	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		V1502	28450			2018-05-18	Viet Nam	missing								2019-12-10T02:30:04.373	2019-12-10T02:30:04.373	2019-12-10T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
13	13430404	SAMN13430404				Microbe sample from Burkholderia thailandensis	Burkholderia thailandensis 012	cell culture	Microbe.1.0		Burkholderia thailandensis	Burkholderia thailandensis		012	57975			2018	Viet Nam					soil				2019-11-30T04:02:03.843	2019-12-05T07:19:28.189	2019-11-30T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
14	13430399	SAMN13430399				Microbe sample from Burkholderia thailandensis	Burkholderia thailandensis 382F	cell culture	Microbe.1.0		Burkholderia thailandensis	Burkholderia thailandensis		382F	57975			2018	Viet Nam					soil				2019-11-30T03:49:03.310	2019-12-05T07:19:28.165	2019-11-30T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
15	13430386	SAMN13430386				Microbe sample from Burkholderia pseudomallei	Burkholderia pseudomallei NA67	cell culture	Microbe.1.0		Burkholderia pseudomallei	Burkholderia pseudomallei		NA67	28450			2018	Viet Nam					missing				2019-11-30T02:53:03.506	2019-12-05T07:19:28.136	2019-11-30T00:00:00.000	Volgograd Plague Control Research Institute	REMOVE: Not Yersinia pestis
16	13387927	SAMN13387927				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae C-555		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		C-555	666			1994	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T07:36:11.801	2019-11-26T07:36:11.801	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
17	13387619	SAMN13387619				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae C-347		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		C-347	666			1980	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T07:27:03.869	2019-11-26T07:27:03.869	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
18	13387572	SAMN13387572				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae C-191		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		C-191	666			09-sep-1973	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T07:19:06.788	2019-11-26T07:19:06.788	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
19	13387564	SAMN13387564				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae C-50		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		C-50	666			18-aug-1970	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T07:09:03.932	2019-11-26T07:09:03.932	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
20	13387510	SAMN13387510				Pathogen: clinical or host-associated sample from Vibrio cholerae	Vibrio cholerae 17332		Pathogen.cl.1.0		Vibrio cholerae	Vibrio cholerae		17332	666			1994	Russia	Homo sapiens	Cholera			unknown		missing		2019-11-26T07:00:05.115	2019-11-26T07:00:05.115	2019-11-26T00:00:00.000	Stavropol Plague Control Reseach Institute	REMOVE: Not Yersinia pestis
