BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN13698233				134K		2019	Thailand					REMOVE: Not Yersinia pestis
SAMN13698231				134		1985	Thailand	Homo sapiens				REMOVE: Not Yersinia pestis
SAMN13680007		PRJNA597689		4812		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13679873		PRJNA597674		4701		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13675363				4822		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13675230				4702		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13632815				9_10		1923	Russia:Rostov Oblast:Zavetinsky District:Kichkino Village	Homo sapiens		missing		REMOVE: No Assembly or SRA data
SAMN13545402				V1607		2016	Viet Nam	missing				REMOVE: Not Yersinia pestis
SAMN13544776				V1514		2015	Viet Nam	missing				REMOVE: Not Yersinia pestis
SAMN13520125				V1513		2015	Viet Nam	missing				REMOVE: Not Yersinia pestis
SAMN13519417				V1610		2018-01-09	Viet Nam	missing				REMOVE: Not Yersinia pestis
SAMN13519304				V1502		2018-05-18	Viet Nam	missing				REMOVE: Not Yersinia pestis
SAMN13430404				012		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13430399				382F		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13430386				NA67		2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN13387927				C-555		1994	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387619				C-347		1980	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387572				C-191		09-sep-1973	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387564				C-50		18-aug-1970	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387510				17332		1994	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387509				8048		21-Aug-1994	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387507				5765Az		1991	Azerbaijan	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387502				4017Az		1989	Azerbaijan	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387501				3097Az		1989	Azerbaijan	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387477				2278		1987	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387476				454		1990	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387475				353Az		1985	Azerbaijan	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387474				77N		missing	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387472				35D		17-oct-1998	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387026				4		1994	Russia	unknown		missing		REMOVE: Not Yersinia pestis
SAMN13387006				C-587		17-Sep-2015	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13387000				I-181		21-apr-1982	Russia	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN13386990				I-34		23-Feb-1958	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
SAMN13386970				I-29		1958	Russia	Bos taurus		missing		REMOVE: Not Yersinia pestis
