#Coverage (X)	Coverage
1.0	89.06271513327005
2.0	89.05509585691496
3.0	88.32873864743351
4.0	87.90756658326181
5.0	87.11806048007652
6.0	86.49048470399215
7.0	85.81667565589443
8.0	85.29152531494216
9.0	84.6566408308324
10.0	84.14598367859905
11.0	83.55176294112349
12.0	83.04752420103709
13.0	82.48802500282099
14.0	81.99473897249504
15.0	81.43737234347616
16.0	80.954666340915
17.0	80.40576787501902
18.0	79.91525625510496
19.0	79.32039367641471
20.0	78.8187223011871
21.0	0.4364106168818722
22.0	0.004989797830361908
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
