#Coverage (X)	Coverage
1.0	89.3664302551526
2.0	89.35479429506682
3.0	88.99764071592212
4.0	88.78016006691712
5.0	88.47588592204114
6.0	88.25999952379523
7.0	88.00036440017351
8.0	87.78795636722013
9.0	87.50904530260226
10.0	87.29771390652515
11.0	87.03482816771933
12.0	86.82181970266188
13.0	86.564689830233
14.0	86.36010811918784
15.0	86.09883733569642
16.0	85.88649141640899
17.0	85.62300524549909
18.0	85.39020322556267
19.0	85.04917849500657
20.0	84.70757403690173
21.0	0.1886806125649656
22.0	0.006936026029762843
23.0	0.006190662038505934
24.0	0.005673048155685478
25.0	0.005155434272865023
26.0	0.004637820390044567
27.0	0.004120206507224111
28.0	0.0036025926244036555
29.0	0.0028572286331467467
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
