#Coverage (X)	Coverage
1.0	92.35902527094498
2.0	92.32504909567679
3.0	92.14367719113721
4.0	92.01530894819824
5.0	91.82712524496077
6.0	91.69180027143672
7.0	91.50171174911048
8.0	91.36085865931793
9.0	91.17607050315175
10.0	91.04035214307676
11.0	90.85001516608676
12.0	90.70870657607733
13.0	90.5061125023422
14.0	90.35813704552207
15.0	90.13289218827481
16.0	89.96441922169507
17.0	89.67960735881304
18.0	89.43707419787964
19.0	88.77603986040988
20.0	88.22213089212823
21.0	0.09824311495893312
22.0	0.007080957916954844
23.0	0.004596411279422341
24.0	0.004596411279422341
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
