#Coverage (X)	Coverage
1.0	92.18328500545047
2.0	92.13850105230902
3.0	91.94613502889838
4.0	91.78670995299031
5.0	91.59660072610876
6.0	91.42986694217528
7.0	91.24102069316781
8.0	91.07395563634933
9.0	90.88995425328504
10.0	90.72502176566377
11.0	90.53315265158064
12.0	90.37095316526066
13.0	90.1689595236296
14.0	89.99866455618233
15.0	89.7793412017545
16.0	89.6031454360431
17.0	89.33067348812749
18.0	89.05768392632905
19.0	88.36234214070609
20.0	87.81636301710921
21.0	0.12869951582396766
22.0	0.007847026463522866
23.0	0.005238252494123685
24.0	0.004762047721925455
25.0	0.002525955748154729
26.0	0.0020083418653342733
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
