#Coverage (X)	Coverage
1.0	92.53905137938924
2.0	92.50710425054169
3.0	92.34252374036073
4.0	92.20757144883231
5.0	92.03965750524601
6.0	91.89679607358813
7.0	91.72322978640146
8.0	91.58094808229232
9.0	91.40661572655908
10.0	91.26801943329562
11.0	91.09405975955801
12.0	90.94898294048166
13.0	90.76543705763423
14.0	90.6160122819422
15.0	90.41430850408553
16.0	90.25600147416434
17.0	90.00535212754835
18.0	89.7429218889594
19.0	89.12495302654014
20.0	88.56785555674031
21.0	0.11718778307009359
22.0	0.01231921041107853
23.0	0.009337754446050894
24.0	0.00828182212509887
25.0	0.005176138828190346
26.0	0.0026501830800356174
27.0	0.002029046420659597
28.0	5.797275487680054E-4
29.0	6.211366594754963E-5
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
