#Coverage (X)	Coverage
1.0	93.74652034067276
2.0	93.72662326301722
3.0	93.62229300879633
4.0	93.54044790164508
5.0	93.42719398408441
6.0	93.33833003268214
7.0	93.20606933334437
8.0	93.11451378975146
9.0	92.99200493596598
10.0	92.90581187219907
11.0	92.77448287785037
12.0	92.68423172124216
13.0	92.54747813340153
14.0	92.44937995032977
15.0	92.31674656899638
16.0	92.2226443651
17.0	92.07112842932138
18.0	91.9768812935378
19.0	91.80909157728338
20.0	91.69463679551457
21.0	0.06708275921327811
22.0	0.001138750542210687
23.0	1.4210854715202004E-14
24.0	1.4210854715202004E-14
25.0	1.4210854715202004E-14
26.0	1.4210854715202004E-14
27.0	1.4210854715202004E-14
28.0	1.4210854715202004E-14
29.0	1.4210854715202004E-14
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
