#Read position (bp)	Clipping profile
0.0	2.690582959641256
1.0	2.690582959641256
2.0	1.4449427005480817
3.0	1.2456402590931739
4.0	0.8470353761833582
5.0	0.5480817140009965
6.0	0.3487792725460887
7.0	0.1993024414549078
8.0	0.1993024414549078
9.0	0.0996512207274539
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
101.0	0.0
102.0	0.0
103.0	0.0
104.0	0.0
105.0	0.0
106.0	0.0
107.0	0.0
108.0	0.0
109.0	0.0
110.0	0.0
111.0	0.0
112.0	0.0
113.0	0.0
114.0	0.0
115.0	0.0
116.0	0.0
117.0	0.0
118.0	0.0
119.0	0.0
120.0	0.0
121.0	0.04982561036372695
122.0	0.04982561036372695
123.0	0.04982561036372695
124.0	0.04982561036372695
125.0	0.0996512207274539
126.0	0.0996512207274539
127.0	0.0996512207274539
128.0	0.0996512207274539
129.0	0.0996512207274539
130.0	0.0996512207274539
131.0	0.0996512207274539
132.0	0.14947683109118087
133.0	0.1993024414549078
134.0	0.1993024414549078
135.0	0.1993024414549078
136.0	0.1993024414549078
137.0	0.1993024414549078
138.0	0.1993024414549078
139.0	0.1993024414549078
140.0	0.1993024414549078
141.0	0.1993024414549078
142.0	0.1993024414549078
143.0	0.1993024414549078
144.0	0.1993024414549078
145.0	0.1993024414549078
146.0	0.2491280518186348
147.0	0.2491280518186348
148.0	0.2491280518186348
149.0	0.2491280518186348
150.0	0.29895366218236175
151.0	0.29895366218236175
152.0	0.29895366218236175
153.0	0.29895366218236175
154.0	0.29895366218236175
155.0	0.29895366218236175
156.0	0.29895366218236175
157.0	0.3487792725460887
158.0	0.3986048829098156
159.0	0.3986048829098156
160.0	0.3986048829098156
161.0	0.3986048829098156
162.0	0.3986048829098156
163.0	0.3986048829098156
164.0	0.3986048829098156
165.0	0.3986048829098156
166.0	0.3986048829098156
167.0	0.3986048829098156
168.0	0.3986048829098156
169.0	0.3986048829098156
170.0	0.3986048829098156
171.0	0.4484304932735426
172.0	0.4484304932735426
173.0	0.4484304932735426
174.0	0.4484304932735426
175.0	0.4982561036372696
176.0	0.4982561036372696
177.0	0.4982561036372696
178.0	0.4982561036372696
179.0	0.4982561036372696
180.0	0.4982561036372696
181.0	0.4982561036372696
182.0	0.5480817140009965
183.0	0.5979073243647235
184.0	0.5979073243647235
185.0	0.5979073243647235
186.0	0.5979073243647235
187.0	0.5979073243647235
188.0	0.5979073243647235
189.0	0.5979073243647235
190.0	0.5979073243647235
191.0	0.5979073243647235
192.0	0.5979073243647235
193.0	0.5979073243647235
194.0	0.5979073243647235
195.0	0.5979073243647235
196.0	0.6477329347284505
197.0	0.6477329347284505
198.0	0.6477329347284505
199.0	0.7473841554559043
200.0	0.7972097658196312
201.0	0.7972097658196312
202.0	0.7972097658196312
203.0	0.7972097658196312
204.0	0.7972097658196312
205.0	0.7972097658196312
206.0	0.7972097658196312
207.0	0.8470353761833582
208.0	0.8968609865470852
209.0	0.8968609865470852
210.0	0.8968609865470852
211.0	0.8968609865470852
212.0	0.8968609865470852
213.0	0.8968609865470852
214.0	0.8968609865470852
215.0	0.9466865969108121
216.0	0.9466865969108121
217.0	0.9466865969108121
218.0	0.9466865969108121
219.0	0.9466865969108121
220.0	0.9466865969108121
221.0	0.9965122072745392
222.0	0.9965122072745392
223.0	0.9965122072745392
224.0	1.046337817638266
225.0	1.096163428001993
226.0	1.096163428001993
227.0	1.096163428001993
228.0	1.096163428001993
229.0	1.096163428001993
230.0	1.096163428001993
231.0	1.096163428001993
232.0	1.14598903836572
233.0	1.195814648729447
234.0	1.195814648729447
235.0	1.195814648729447
236.0	1.195814648729447
237.0	1.195814648729447
238.0	1.195814648729447
239.0	1.195814648729447
240.0	1.4947683109118086
241.0	1.5445939212755355
242.0	1.6442451420029895
243.0	1.6940707523667164
244.0	1.6940707523667164
245.0	1.7937219730941705
246.0	1.9431988041853512
247.0	2.29197807673144
248.0	3.687095166915795
249.0	3.7369207772795217
