#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	1.1306205976460478E-5
17.0	1.1306205976460478E-5
18.0	2.2612411952920957E-5
19.0	1.0175585378814431E-4
20.0	1.4698067769398622E-4
21.0	2.713489434350515E-4
22.0	2.7134894343505147E-4
23.0	2.7134894343505147E-4
24.0	5.766165047994845E-4
25.0	9.158026840932988E-4
26.0	0.0012889074813164946
27.0	0.0019898922518570444
28.0	0.0024421404909154634
29.0	0.002849163906068041
30.0	0.004194602417266837
31.0	0.004443338948748967
32.0	0.005257385779054122
33.0	0.006354087758770789
34.0	0.00802740624328694
35.0	0.008219611744886769
36.0	0.010005992289167525
37.0	0.011668004567707212
38.0	0.01371442784944656
39.0	0.01560256424751546
40.0	0.01863262744920687
41.0	0.0226576367768268
42.0	0.0260608047757414
43.0	0.031205128495030925
44.0	0.03904032923671803
45.0	0.04675116171266408
46.0	0.05673454158987869
47.0	0.06352957138173145
48.0	0.07216751274774724
49.0	0.07827286397503591
50.0	0.07967483351611698
51.0	0.08199260574129141
52.0	0.0633938969100139
53.0	0.05906362002102954
54.0	0.047011204450122676
55.0	0.03633814600834398
56.0	0.02550680068289484
57.0	0.0174793944396079
58.0	0.011747148009542439
59.0	0.008050018655239861
60.0	0.005234773367101203
61.0	0.003957172091761167
62.0	0.0028039390821621986
63.0	0.0017298495143984534
64.0	0.001017558537881443
65.0	6.444537406582474E-4
66.0	3.5049238527027493E-4
67.0	1.4698067769398622E-4
68.0	1.1306205976460479E-4
69.0	2.2612411952920957E-5
70.0	1.1306205976460478E-5
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
