#Coverage (X)	Coverage
1.0	91.87433163107382
2.0	91.85764375949174
3.0	91.6976182514796
4.0	91.55355595561358
5.0	91.39019701419608
6.0	91.23932291963216
7.0	91.06747511053645
8.0	90.9118389682506
9.0	90.73976340904645
10.0	90.58897213270377
11.0	90.41662741428055
12.0	90.26724404769915
13.0	90.09568610237781
14.0	89.9467582360133
15.0	89.77725004166791
16.0	89.62368435491335
17.0	89.43728124343278
18.0	89.2698849137293
19.0	89.04588232980079
20.0	88.83645575281245
21.0	0.1560709379474048
22.0	0.013975574836095461
23.0	0.01246414229827053
24.0	0.01109764164762339
25.0	0.009399868111984233
26.0	0.007764208242278414
27.0	0.0072465943594579585
28.0	0.006728980476637503
29.0	0.005693752710996591
30.0	0.005176138828176136
31.0	0.003933865509409884
32.0	0.002381023860948517
33.0	0.0015528416484329455
34.0	2.8986377435558097E-4
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
