#Coverage (X)	Coverage
1.0	93.82323071810644
2.0	93.82097392157736
3.0	93.54533417669889
4.0	93.28489157541996
5.0	92.9915287311938
6.0	92.70978114249807
7.0	92.39289792343662
8.0	92.0878991191247
9.0	91.77356256036671
10.0	91.48543796863467
11.0	91.17660882158988
12.0	90.88869127541096
13.0	90.57919958259616
14.0	90.28983271754535
15.0	89.97870536486084
16.0	89.6848870204178
17.0	89.35924577445907
18.0	89.06457854324819
19.0	88.7138019671398
20.0	88.38737394807919
21.0	0.28445988544169154
22.0	3.726819956284544E-4
23.0	6.211366593333878E-5
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
