#Coverage	Number of genomic locations
0.0	233552.0
1.0	4088.0
2.0	5626.0
3.0	3999.0
4.0	5894.0
5.0	4013.0
6.0	6107.0
7.0	4533.0
8.0	6067.0
9.0	4002.0
10.0	6255.0
11.0	4344.0
12.0	6576.0
13.0	4308.0
14.0	6409.0
15.0	4320.0
16.0	6841.0
17.0	4733.0
18.0	6521.0
19.0	5368.0
20.0	4489525.0
21.0	384.0
22.0	296.0
23.0	229.0
24.0	577.0
25.0	230.0
26.0	429.0
27.0	194.0
28.0	336.0
29.0	297.0
30.0	174.0
31.0	115.0
32.0	158.0
33.0	93.0
34.0	146.0
35.0	93.0
36.0	143.0
37.0	93.0
38.0	150.0
39.0	100.0
40.0	2507.0
41.0	30.0
