#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	2.1923814743765414E-5
18.0	4.384762948753083E-5
19.0	9.865716634694437E-5
20.0	1.2058098109070977E-4
21.0	2.630857769251849E-4
22.0	2.4116196218141957E-4
23.0	2.8500959166895035E-4
24.0	5.590572759660181E-4
25.0	9.427240339819129E-4
26.0	0.0011838859961633324
27.0	0.0019402576048232392
28.0	0.0024225815291860787
29.0	0.002773362565086325
30.0	0.003891477117018361
31.0	0.004516305837215676
32.0	0.005097286927925459
33.0	0.0065552206083858595
34.0	0.007443135105508358
35.0	0.007958344751986847
36.0	0.010139764318991504
37.0	0.011444231296245548
38.0	0.013921622362291039
39.0	0.015368594135379556
40.0	0.018964099753357083
41.0	0.02220882433543437
42.0	0.026341463414634145
43.0	0.031471636064675255
44.0	0.03945190463140587
45.0	0.047432173198136474
46.0	0.05614688955878323
47.0	0.06419292956974514
48.0	0.07123047410249383
49.0	0.07795012332145793
50.0	0.07876130446697725
51.0	0.08245546725130172
52.0	0.06175938613318717
53.0	0.058624280624828704
54.0	0.04862702110167169
55.0	0.036020827624006574
56.0	0.02665935872841875
57.0	0.017922718553028225
58.0	0.012375993422855577
59.0	0.007958344751986845
60.0	0.005480953685941354
61.0	0.003858591394902713
62.0	0.0026747053987393804
63.0	0.0019731433269388875
64.0	0.0010194573855850917
65.0	6.02904905453549E-4
66.0	3.3981912852836394E-4
67.0	1.6442861057824063E-4
68.0	5.4809536859413536E-5
69.0	4.384762948753083E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
