#Coverage	Number of genomic locations
0.0	288174.0
1.0	2814.0
2.0	7938.0
3.0	3738.0
4.0	8394.0
5.0	4087.0
6.0	8275.0
7.0	4105.0
8.0	8513.0
9.0	4092.0
10.0	8631.0
11.0	4135.0
12.0	8539.0
13.0	4773.0
14.0	9586.0
15.0	4537.0
16.0	11068.0
17.0	5553.0
18.0	11706.0
19.0	8657.0
20.0	4300065.0
21.0	948.0
22.0	388.0
23.0	383.0
24.0	420.0
25.0	258.0
26.0	348.0
27.0	288.0
28.0	334.0
29.0	272.0
30.0	307.0
31.0	238.0
32.0	366.0
33.0	547.0
34.0	281.0
35.0	201.0
36.0	414.0
37.0	272.0
38.0	284.0
39.0	184.0
40.0	105708.0
41.0	34.0
