#Coverage (X)	Coverage
1.0	92.26212795208137
2.0	92.22614343494784
3.0	92.1142560180378
4.0	92.03162413778468
5.0	91.91437424104865
6.0	91.81890553650162
7.0	91.69378790874674
8.0	91.59479942979655
9.0	91.46266295779066
10.0	91.36984443632366
11.0	91.23843262375372
12.0	91.13851243981445
13.0	91.00229717041195
14.0	90.9025633274705
15.0	90.75071611880688
16.0	90.65164482163544
17.0	90.50209581861154
18.0	90.39304492577935
19.0	90.19223144380112
20.0	90.02580822819733
21.0	0.09114145248668137
22.0	0.029628218652533178
23.0	0.024410670713720606
24.0	0.02149132841462631
25.0	0.018737622558035127
26.0	0.014203324944546125
27.0	0.010766368762631373
28.0	0.004679229500681004
29.0	0.003022865075664072
30.0	9.11000433760023E-4
31.0	4.1409110625068024E-4
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
