#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	1.1198584498919336E-5
17.0	1.1198584498919336E-5
18.0	3.359575349675801E-5
19.0	1.0078726049027403E-4
20.0	1.903759364816287E-4
21.0	2.1277310547946742E-4
22.0	1.791773519827094E-4
23.0	3.4715611946649946E-4
24.0	5.375320559481281E-4
25.0	0.0010078726049027402
26.0	0.001131057034390853
27.0	0.0018141706888249328
28.0	0.002474887174261174
29.0	0.0030796107372028183
30.0	0.0039531003281185265
31.0	0.004266660694088268
32.0	0.005240937545494251
33.0	0.006416788917880781
34.0	0.0072342855863018925
35.0	0.008253356775703552
36.0	0.010078726049027403
37.0	0.011534542033886916
38.0	0.014121415053137285
39.0	0.015566032453497877
40.0	0.018892012049676922
41.0	0.022206793061357043
42.0	0.02682060987491181
43.0	0.03131124225897847
44.0	0.038679910859267384
45.0	0.04719083507844609
46.0	0.056552851719542656
47.0	0.06389912315083374
48.0	0.07174933088457618
49.0	0.076911878338578
50.0	0.07959953861831863
51.0	0.0822871988980593
52.0	0.06229772556748827
53.0	0.059341299259773564
54.0	0.04804192750036395
55.0	0.03669776140295866
56.0	0.0260591061289853
57.0	0.01805211821225797
58.0	0.011780910892863143
59.0	0.008006987916727326
60.0	0.005162547454001815
61.0	0.0038299158986304137
62.0	0.0025868730192503673
63.0	0.0020269437943044003
64.0	0.0010078726049027405
65.0	6.047235629416443E-4
66.0	3.919504574621768E-4
67.0	1.0078726049027403E-4
68.0	5.599292249459668E-5
69.0	5.599292249459668E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
