#Coverage (X)	Coverage
1.0	93.63709676584494
2.0	93.59434185912414
3.0	93.39359049081183
4.0	93.34481055849503
5.0	93.12409999886125
6.0	93.06378762923525
7.0	92.84717657155339
8.0	92.78551840583206
9.0	92.57455969175058
10.0	92.51776709652775
11.0	92.28529634947633
12.0	92.22531525273533
13.0	91.97303024624964
14.0	91.8975621421347
15.0	91.61693259942587
16.0	91.53982883544123
17.0	91.18033564154618
18.0	91.0800841847219
19.0	90.22306052666177
20.0	89.94199618829137
21.0	0.035901698912283564
22.0	0.030559923641604314
23.0	0.02430714793715083
24.0	0.020663146202110738
25.0	0.018240713230525785
26.0	0.014534597829552354
27.0	0.012277801300470514
28.0	0.00896507245043665
29.0	0.006149252927897919
30.0	0.005010502385701443
31.0	3.93386550967989E-4
32.0	3.5197744034576317E-4
33.0	2.8421709430404007E-14
34.0	2.8421709430404007E-14
35.0	2.8421709430404007E-14
36.0	2.8421709430404007E-14
37.0	2.8421709430404007E-14
38.0	2.8421709430404007E-14
39.0	2.8421709430404007E-14
40.0	2.8421709430404007E-14
41.0	2.8421709430404007E-14
42.0	2.8421709430404007E-14
43.0	2.8421709430404007E-14
44.0	2.8421709430404007E-14
45.0	2.8421709430404007E-14
46.0	2.8421709430404007E-14
47.0	2.8421709430404007E-14
48.0	2.8421709430404007E-14
49.0	2.8421709430404007E-14
50.0	2.8421709430404007E-14
51.0	2.8421709430404007E-14
