#Coverage	Number of genomic locations
0.0	249509.0
1.0	3176.0
2.0	6983.0
3.0	3105.0
4.0	7681.0
5.0	3490.0
6.0	7881.0
7.0	3514.0
8.0	7826.0
9.0	3352.0
10.0	8413.0
11.0	3751.0
12.0	8747.0
13.0	3705.0
14.0	9878.0
15.0	4833.0
16.0	13402.0
17.0	6295.0
18.0	23414.0
19.0	14785.0
20.0	4428816.0
21.0	723.0
22.0	528.0
23.0	301.0
24.0	520.0
25.0	272.0
26.0	411.0
27.0	204.0
28.0	338.0
29.0	144.0
30.0	293.0
31.0	166.0
32.0	249.0
33.0	131.0
34.0	165.0
35.0	142.0
36.0	102.0
37.0	118.0
38.0	92.0
39.0	132.0
40.0	1790.0
41.0	15.0
42.0	20.0
43.0	63.0
44.0	22.0
45.0	7.0
46.0	7.0
47.0	7.0
48.0	14.0
49.0	4.0
50.0	14.0
51.0	13.0
52.0	13.0
53.0	6.0
54.0	5.0
55.0	12.0
56.0	2.0
57.0	2.0
58.0	4.0
59.0	2.0
60.0	2.0
61.0	12.0
62.0	7.0
63.0	2.0
64.0	5.0
65.0	2.0
66.0	21.0
67.0	3.0
68.0	4.0
69.0	12.0
70.0	19.0
71.0	6.0
72.0	3.0
73.0	6.0
74.0	3.0
75.0	23.0
76.0	15.0
77.0	32.0
78.0	6.0
79.0	15.0
80.0	28.0
81.0	20.0
