#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	3.320751375344528E-5
18.0	3.320751375344528E-5
19.0	4.4276685004593705E-5
20.0	1.3283005501378112E-4
21.0	2.4352176752526545E-4
22.0	2.2138342502296855E-4
23.0	2.6566011002756223E-4
24.0	6.198735900643119E-4
25.0	9.408795563476163E-4
26.0	0.0011401246388682879
27.0	0.0021252808802204983
28.0	0.002346664305243467
29.0	0.003021883751563521
30.0	0.004018109164166879
31.0	0.00429483844544559
32.0	0.005313202200551244
33.0	0.006840747833209727
34.0	0.007305653025757961
35.0	0.008600746062142325
36.0	0.01006187666729392
37.0	0.01196577412249145
38.0	0.013947155776447019
39.0	0.015629669806621577
40.0	0.019027905380724144
41.0	0.022481486811082453
42.0	0.027086262051560204
43.0	0.03128147795574545
44.0	0.040457820922947495
45.0	0.047254292071152636
46.0	0.05701730111466555
47.0	0.06428974662667006
48.0	0.07186105976245559
49.0	0.07821476406061478
50.0	0.07846935499939119
51.0	0.08224394239603282
52.0	0.06159993801264099
53.0	0.05937503459116016
54.0	0.047475675496175596
55.0	0.0368935477800777
56.0	0.025746892330171238
57.0	0.01773281234433978
58.0	0.011976843293742599
59.0	0.007372068053264852
60.0	0.004516221870468558
61.0	0.003320751375344528
62.0	0.0020477966814624587
63.0	0.001427923091398147
64.0	8.30187843836132E-4
65.0	5.423893913062729E-4
66.0	1.6603756876722641E-4
67.0	9.962254126033583E-5
68.0	3.320751375344528E-5
69.0	1.1069171251148426E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
