#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	3.384705643432543E-5
19.0	4.5129408579100573E-5
20.0	7.897646501342601E-5
21.0	1.5795293002685197E-4
22.0	1.805176343164023E-4
23.0	2.36929395040278E-4
24.0	4.4001173364623054E-4
25.0	7.671999458447097E-4
26.0	9.025881715820114E-4
27.0	0.0018615881038878987
28.0	0.0019518469210460998
29.0	0.002685199810456484
30.0	0.0039488232506713
31.0	0.004140623237132477
32.0	0.005077058465148814
33.0	0.006701717173996435
34.0	0.0072996818376695185
35.0	0.007773540627750075
36.0	0.010120269873863302
37.0	0.011350046257643794
38.0	0.014148069589548031
39.0	0.015343998916894194
40.0	0.01835638693954916
41.0	0.022587268993839834
42.0	0.026423268723063387
43.0	0.03095877428526299
44.0	0.039883114831780135
45.0	0.04799512602387346
46.0	0.056671254823205536
47.0	0.06515558363607644
48.0	0.07243270076945642
49.0	0.07852517092763499
50.0	0.07974366495927068
51.0	0.08330888823701965
52.0	0.0626847485163707
53.0	0.059209784055779945
54.0	0.04694586727440937
55.0	0.0356296680731999
56.0	0.025960692285127606
57.0	0.01707019879504479
58.0	0.012015705034185526
59.0	0.0073786583026829436
60.0	0.005291423155899542
61.0	0.003745740912065347
62.0	0.002922129205496762
63.0	0.0017036351738610464
64.0	9.364352280163368E-4
65.0	6.092470158178577E-4
66.0	3.7231762077757967E-4
67.0	1.3538822573730172E-4
68.0	4.5129408579100573E-5
69.0	5.641176072387572E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
