#Coverage (X)	Coverage
1.0	93.72121937408059
2.0	93.70148793286755
3.0	93.49814849514115
4.0	93.33605253159774
5.0	93.14279621230865
6.0	92.9754412917158
7.0	92.79052890821774
8.0	92.62671446658337
9.0	92.4438932431719
10.0	92.27871230088688
11.0	92.09092198420035
12.0	91.92845333866131
13.0	91.7280125386787
14.0	91.56279018728306
15.0	91.36365377428515
16.0	91.18809984978846
17.0	90.94916928147947
18.0	90.75990894136574
19.0	90.30368406504957
20.0	89.92860034100403
21.0	0.1476027748245059
22.0	0.01362359739577812
23.0	0.010455800432936257
24.0	0.007060253361643731
25.0	0.004513593058177889
26.0	0.002588069414088068
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
