#Coverage (X)	Coverage
1.0	93.96153714759552
2.0	93.93880354586214
3.0	93.72902499143349
4.0	93.57210516671826
5.0	93.36178829385148
6.0	93.19551001013488
7.0	92.99703614290698
8.0	92.83746613511171
9.0	92.6233603286227
10.0	92.45410058894107
11.0	92.24326610219147
12.0	92.07570413604549
13.0	91.86843083280968
14.0	91.70140718510183
15.0	91.47810855605395
16.0	91.29358955910685
17.0	91.01917138299183
18.0	90.80587305416
19.0	90.38149178391484
20.0	90.02980420737268
21.0	0.16832803469254998
22.0	0.030849787415974106
23.0	0.016418712362991528
24.0	0.014389665942346141
25.0	0.012567665074826095
26.0	0.010352277656366482
27.0	0.007909140129470416
28.0	0.00650123036820105
29.0	0.005921502819447255
30.0	0.005093320606931684
31.0	0.004078797396601885
32.0	0.0031056832969085235
33.0	0.0015528416484471563
34.0	5.176138828062449E-4
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
