#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	2.254105289258061E-5
18.0	1.1270526446290306E-5
19.0	7.889368512403214E-5
20.0	7.889368512403215E-5
21.0	2.2541052892580612E-4
22.0	2.2541052892580612E-4
23.0	2.4795158181838676E-4
24.0	5.071736900830637E-4
25.0	7.438547454551602E-4
26.0	0.001149593697521611
27.0	0.0018483663371916105
28.0	0.0026485737148782217
29.0	0.0027500084528948344
30.0	0.0037756263595072528
31.0	0.0044969400520698324
32.0	0.005105548480169508
33.0	0.006345306389261443
34.0	0.007585064298353376
35.0	0.007990803250419827
36.0	0.010413966436372242
37.0	0.011259255919844016
38.0	0.013321762259515141
39.0	0.01544062123141772
40.0	0.018844320218197395
41.0	0.021842280252910615
42.0	0.026688606624815446
43.0	0.031613826681844315
44.0	0.03750831201325414
45.0	0.04579214895127751
46.0	0.056363902757897814
47.0	0.06392642600335863
48.0	0.07144386714303425
49.0	0.0767297440463444
50.0	0.08003200829510747
51.0	0.08323283780585392
52.0	0.06305859546699426
53.0	0.06064670280748813
54.0	0.049083142673594274
55.0	0.037598476224824456
56.0	0.027793118216551893
57.0	0.018190629684312554
58.0	0.012499013828935951
59.0	0.007742851668601441
60.0	0.005274606376863863
61.0	0.003584027409920318
62.0	0.0023329989743820934
63.0	0.0011946758033067723
64.0	5.18444216529354E-4
65.0	1.4651684380177397E-4
66.0	4.508210578516122E-5
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
