#Coverage	Number of genomic locations
0.0	285403.0
1.0	860.0
2.0	6237.0
3.0	5198.0
4.0	6794.0
5.0	5964.0
6.0	6752.0
7.0	5753.0
8.0	7516.0
9.0	6233.0
10.0	7715.0
11.0	5860.0
12.0	7629.0
13.0	5957.0
14.0	8252.0
15.0	7317.0
16.0	10159.0
17.0	8684.0
18.0	20717.0
19.0	16018.0
20.0	4388854.0
21.0	4227.0
22.0	363.0
23.0	345.0
24.0	66.0
25.0	105.0
26.0	126.0
27.0	45.0
28.0	31.0
29.0	55.0
30.0	51.0
31.0	71.0
32.0	112.0
33.0	80.0
34.0	35.0
35.0	12.0
36.0	22.0
37.0	4.0
39.0	5.0
40.0	4.0
41.0	16.0
42.0	4.0
43.0	6.0
44.0	5.0
45.0	16.0
46.0	3.0
47.0	13.0
48.0	8.0
49.0	12.0
50.0	14.0
51.0	4.0
52.0	6.0
53.0	41.0
54.0	12.0
55.0	8.0
56.0	18.0
57.0	20.0
58.0	3.0
59.0	15.0
