#Coverage (X)	Coverage
1.0	89.20201538141414
2.0	89.06602786212008
3.0	88.4772938318024
4.0	88.22124059624979
5.0	87.49459352299397
6.0	87.25266079416463
7.0	86.59197843413519
8.0	86.35006640986117
9.0	85.69547118909367
10.0	85.46086787284504
11.0	84.84513510239955
12.0	84.60622523864588
13.0	83.97871157622745
14.0	83.72412836410203
15.0	83.06089934376912
16.0	82.78031121017091
17.0	81.96921025579442
18.0	81.54489109921519
19.0	80.50817260559582
20.0	80.07757996875682
21.0	0.017950849456141782
22.0	0.006169957483194821
23.0	0.005010502385687232
24.0	0.004969093275065006
25.0	0.004140911062549435
26.0	0.004099501951927209
27.0	0.003457660737225865
28.0	0.003416251626603639
29.0	0.002588069414088068
30.0	0.002546660303465842
31.0	0.0017391826462755944
32.0	0.0016977735356533685
33.0	0.0010559323209520244
34.0	0.0010145232103297985
35.0	5.383184381315687E-4
36.0	4.969093275093428E-4
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
