#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	1.2144765606023803E-5
21.0	3.643429681807141E-5
22.0	4.8579062424095214E-5
23.0	1.2144765606023805E-4
24.0	1.4573718727228563E-4
25.0	2.0646101530240468E-4
26.0	4.736458586349283E-4
27.0	8.136992956035949E-4
28.0	9.715812484819043E-4
29.0	0.0011537527325722614
30.0	0.001809570075297547
31.0	0.002101044449842118
32.0	0.0027325722613553557
33.0	0.0032669419480204033
34.0	0.004007772649987855
35.0	0.004809327179985425
36.0	0.006740344911343211
37.0	0.007493320378916687
38.0	0.010274471702696138
39.0	0.013286373572990041
40.0	0.01587320864707311
41.0	0.020293903327665775
42.0	0.0254068496478018
43.0	0.030847704639300463
44.0	0.03979839689094001
45.0	0.04826329851833859
46.0	0.05896283701724557
47.0	0.0667354870051008
48.0	0.0763298518338596
49.0	0.08189215448141851
50.0	0.08365314549429197
51.0	0.08814670876852077
52.0	0.06639543356813214
53.0	0.06379645372844303
54.0	0.051117318435754185
55.0	0.03961622540684965
56.0	0.027799368472188488
57.0	0.018982268642215205
58.0	0.012970609667233426
59.0	0.007748360456643187
60.0	0.005125091085742045
61.0	0.0036434296818071404
62.0	0.0024410978868107847
63.0	0.0018338596065095945
64.0	7.894097643915473E-4
65.0	6.315278115132378E-4
66.0	1.9431624969638086E-4
67.0	1.2144765606023805E-4
68.0	3.643429681807141E-5
69.0	4.8579062424095214E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
