#Coverage	Number of genomic locations
0.0	168061.0
1.0	557.0
2.0	8680.0
3.0	654.0
4.0	9224.0
5.0	827.0
6.0	10117.0
7.0	923.0
8.0	10034.0
9.0	775.0
10.0	10255.0
11.0	806.0
12.0	10651.0
13.0	806.0
14.0	11222.0
15.0	1205.0
16.0	12801.0
17.0	863.0
18.0	17173.0
19.0	1806.0
20.0	4532564.0
21.0	115.0
22.0	498.0
23.0	19.0
24.0	443.0
25.0	28.0
26.0	278.0
27.0	55.0
28.0	471.0
29.0	76.0
30.0	666.0
31.0	116.0
32.0	299.0
33.0	119.0
34.0	463.0
35.0	196.0
36.0	569.0
37.0	296.0
38.0	682.0
39.0	759.0
40.0	10547.0
41.0	45.0
42.0	10.0
43.0	3.0
44.0	13.0
45.0	3.0
46.0	16.0
47.0	1.0
48.0	28.0
49.0	17.0
50.0	9.0
51.0	7.0
52.0	9.0
53.0	7.0
54.0	10.0
55.0	19.0
56.0	12.0
57.0	17.0
58.0	13.0
59.0	4.0
60.0	13.0
61.0	3.0
62.0	27.0
63.0	1.0
64.0	10.0
65.0	20.0
66.0	12.0
67.0	8.0
68.0	10.0
69.0	21.0
70.0	12.0
71.0	1.0
72.0	12.0
73.0	17.0
74.0	14.0
75.0	4.0
76.0	30.0
77.0	4.0
78.0	10.0
79.0	4.0
80.0	9.0
81.0	21.0
82.0	50.0
83.0	22.0
85.0	3.0
86.0	3.0
87.0	1.0
88.0	4.0
89.0	267.0
90.0	65.0
91.0	79.0
92.0	75.0
93.0	79.0
94.0	75.0
95.0	74.0
96.0	75.0
97.0	100.0
98.0	122.0
99.0	56.0
100.0	1500.0
