#Coverage (X)	Coverage
1.0	87.47343346746435
2.0	87.11205615903583
3.0	86.90809558465006
4.0	86.70401078293241
5.0	86.46077366711837
6.0	86.16703814089657
7.0	85.84340523680318
8.0	85.47173776438423
9.0	85.07298873361623
10.0	84.62926940870896
11.0	84.15882050289295
12.0	83.65031662441213
13.0	83.10738107044622
14.0	82.52873015856585
15.0	81.90616488486715
16.0	81.20858700727041
17.0	80.41796285809824
18.0	79.54346455535415
19.0	78.5457948530546
20.0	77.42327668221924
21.0	76.14630252875087
22.0	74.69847438484179
23.0	73.03467702446554
24.0	71.13428871053065
25.0	68.96896490681398
26.0	66.52336353782877
27.0	63.790486463879354
28.0	60.78590351056088
29.0	57.508931427548035
30.0	53.95344166646825
31.0	50.20941622471068
32.0	46.34905188665084
33.0	42.45007355293275
34.0	38.45691019709702
35.0	34.504803974446446
36.0	30.68367476870425
37.0	27.053379449279547
38.0	23.66240808471477
39.0	20.55258387674165
40.0	17.750201610607363
41.0	15.267849655942058
42.0	13.100869487800367
43.0	11.228805005533303
44.0	9.62873626640966
45.0	8.265713981061552
46.0	7.119364867061236
47.0	6.141074628534412
48.0	5.317737281968107
49.0	4.629331522374912
50.0	4.050183701167029
51.0	3.557601625721702
