#Coverage	Number of genomic locations
0.0	439577.0
1.0	22581.0
2.0	21759.0
3.0	23472.0
4.0	25929.0
5.0	28725.0
6.0	29985.0
7.0	32328.0
8.0	34214.0
9.0	36807.0
10.0	38289.0
11.0	41364.0
12.0	46627.0
13.0	54024.0
14.0	62632.0
15.0	71456.0
16.0	82151.0
17.0	94229.0
18.0	109571.0
19.0	125847.0
20.0	141777.0
21.0	157989.0
22.0	175887.0
23.0	192090.0
24.0	207625.0
25.0	220813.0
26.0	228022.0
27.0	229727.0
28.0	227144.0
29.0	218883.0
30.0	205982.0
31.0	189783.0
32.0	169488.0
33.0	148783.0
34.0	127932.0
35.0	108221.0
36.0	89404.0
37.0	73372.0
38.0	59666.0
39.0	48039.0
40.0	37621.0
41.0	29097.0
42.0	23693.0
43.0	19274.0
44.0	15511.0
45.0	11959.0
46.0	9645.0
47.0	7837.0
48.0	6184.0
49.0	5125.0
50.0	4286.0
51.0	3620.0
52.0	2906.0
53.0	2352.0
54.0	1807.0
55.0	1363.0
56.0	1104.0
57.0	884.0
58.0	773.0
59.0	595.0
60.0	467.0
61.0	398.0
62.0	334.0
63.0	204.0
64.0	157.0
65.0	162.0
66.0	63.0
67.0	67.0
68.0	54.0
69.0	53.0
70.0	28.0
71.0	12.0
72.0	1.0
73.0	3.0
74.0	7.0
75.0	9.0
76.0	4.0
77.0	2.0
