#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	8.921561630147741E-6
21.0	0.0
22.0	8.921561630147741E-6
23.0	8.921561630147741E-6
24.0	3.5686246520590966E-5
25.0	8.029405467132967E-5
26.0	1.249018628220684E-4
27.0	3.3901934194561416E-4
28.0	5.531368210691599E-4
29.0	8.921561630147743E-4
30.0	0.0015255870387552637
31.0	0.0025158803797016628
32.0	0.0035507815287988006
33.0	0.004380486760402541
34.0	0.005834701306116623
35.0	0.007556562700735137
36.0	0.009180286917422027
37.0	0.011785382913425166
38.0	0.014176361430304762
39.0	0.01745949611019913
40.0	0.020528513310969953
41.0	0.026024195275140962
42.0	0.03036007422739276
43.0	0.03641781457426308
44.0	0.042868103632859894
45.0	0.048417314966811786
46.0	0.05545642709299836
47.0	0.05941760045678395
48.0	0.0650114195988866
49.0	0.0671436728284919
50.0	0.06809827992291771
51.0	0.07234494325886803
52.0	0.055866818927985146
53.0	0.05675897509099993
54.0	0.05031760759403326
55.0	0.042368496181571624
56.0	0.03332203268860181
57.0	0.028058311326814644
58.0	0.020135964599243453
59.0	0.014390478909428307
60.0	0.009813717793162514
61.0	0.006807151523802725
62.0	0.004219898651059882
63.0	0.0028905859681678677
64.0	0.0012936264363714225
65.0	9.902933409463993E-4
66.0	3.568624652059096E-4
67.0	2.051959174933981E-4
68.0	5.352936978088645E-5
69.0	8.921561630147741E-6
70.0	8.921561630147741E-6
71.0	0.0
72.0	8.921561630147741E-6
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.7843123260295483E-5
