#Coverage (X)	Coverage
1.0	0.9730312814774038
2.0	0.18855638523311313
3.0	0.05072616051621992
4.0	0.021739783078388086
5.0	0.013665006506414556
6.0	0.010869891539201149
7.0	0.008799436007933537
8.0	0.007495049023233946
9.0	0.00656334403416281
10.0	0.004969093275079217
11.0	0.003809638177571628
12.0	0.003602592624446288
13.0	0.0034369561819431738
14.0	0.0032920242947511724
15.0	0.002981455965056057
16.0	0.002691592190672054
17.0	0.0025673648587911657
18.0	0.002277501084407163
19.0	0.0019876373100231604
20.0	0.001635659869705819
21.0	0.0013043869846995904
22.0	6.625457699982462E-4
23.0	6.211366593760204E-4
24.0	6.004321040649074E-4
25.0	6.004321040649074E-4
26.0	5.797275487537945E-4
27.0	4.76204772184019E-4
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
