#Coverage	Number of genomic locations
0.0	421472.0
1.0	344829.0
2.0	500168.0
3.0	585190.0
4.0	597523.0
5.0	547633.0
6.0	464744.0
7.0	371920.0
8.0	280911.0
9.0	207682.0
10.0	147650.0
11.0	103057.0
12.0	71884.0
13.0	48134.0
14.0	33275.0
15.0	23300.0
16.0	16165.0
17.0	11694.0
18.0	8743.0
19.0	6720.0
20.0	5185.0
21.0	4140.0
22.0	3302.0
23.0	2691.0
24.0	2265.0
25.0	1867.0
26.0	1676.0
27.0	1517.0
28.0	1275.0
29.0	1119.0
30.0	902.0
31.0	744.0
32.0	711.0
33.0	618.0
34.0	500.0
35.0	487.0
36.0	433.0
37.0	332.0
38.0	326.0
39.0	265.0
40.0	251.0
41.0	264.0
42.0	235.0
43.0	219.0
44.0	212.0
45.0	200.0
46.0	184.0
47.0	172.0
48.0	187.0
49.0	180.0
50.0	145.0
51.0	139.0
52.0	196.0
53.0	152.0
54.0	140.0
55.0	136.0
56.0	137.0
57.0	129.0
58.0	110.0
59.0	122.0
60.0	97.0
61.0	108.0
62.0	105.0
63.0	136.0
64.0	119.0
65.0	109.0
66.0	105.0
67.0	110.0
68.0	119.0
69.0	160.0
70.0	152.0
71.0	138.0
72.0	116.0
73.0	137.0
74.0	107.0
75.0	106.0
76.0	97.0
77.0	87.0
78.0	82.0
79.0	70.0
80.0	83.0
81.0	93.0
82.0	55.0
83.0	74.0
84.0	69.0
85.0	62.0
86.0	52.0
87.0	54.0
88.0	35.0
89.0	43.0
90.0	40.0
91.0	33.0
92.0	29.0
93.0	35.0
94.0	34.0
95.0	27.0
96.0	26.0
97.0	31.0
98.0	29.0
99.0	18.0
100.0	15.0
101.0	8.0
102.0	19.0
103.0	9.0
104.0	14.0
105.0	13.0
106.0	14.0
107.0	14.0
108.0	4.0
109.0	1.0
110.0	2.0
111.0	1.0
