#Coverage	Number of genomic locations
0.0	305793.0
1.0	34078.0
2.0	22868.0
3.0	29874.0
4.0	50694.0
5.0	84789.0
6.0	128265.0
7.0	183933.0
8.0	242189.0
9.0	300026.0
10.0	343906.0
11.0	374506.0
12.0	384564.0
13.0	380044.0
14.0	352852.0
15.0	318009.0
16.0	275661.0
17.0	229356.0
18.0	185687.0
19.0	146142.0
20.0	110771.0
21.0	82423.0
22.0	61346.0
23.0	44056.0
24.0	31865.0
25.0	23500.0
26.0	17247.0
27.0	12654.0
28.0	9691.0
29.0	7753.0
30.0	6655.0
31.0	5402.0
32.0	4650.0
33.0	3905.0
34.0	3545.0
35.0	3325.0
36.0	2857.0
37.0	2633.0
38.0	2269.0
39.0	2053.0
40.0	1835.0
41.0	1500.0
42.0	1328.0
43.0	1178.0
44.0	935.0
45.0	734.0
46.0	598.0
47.0	478.0
48.0	386.0
49.0	317.0
50.0	201.0
51.0	156.0
52.0	139.0
53.0	127.0
54.0	96.0
55.0	85.0
56.0	63.0
57.0	60.0
58.0	51.0
59.0	59.0
60.0	38.0
61.0	31.0
62.0	17.0
63.0	18.0
64.0	21.0
65.0	21.0
66.0	14.0
67.0	15.0
68.0	21.0
69.0	20.0
70.0	17.0
71.0	12.0
72.0	15.0
73.0	15.0
74.0	17.0
75.0	22.0
76.0	18.0
77.0	21.0
78.0	15.0
79.0	12.0
80.0	20.0
81.0	21.0
82.0	16.0
83.0	14.0
84.0	24.0
85.0	24.0
86.0	26.0
87.0	33.0
88.0	26.0
89.0	35.0
90.0	33.0
91.0	29.0
92.0	27.0
93.0	45.0
94.0	30.0
95.0	33.0
96.0	28.0
97.0	23.0
98.0	35.0
99.0	43.0
100.0	45.0
101.0	40.0
102.0	36.0
103.0	41.0
104.0	39.0
105.0	41.0
106.0	44.0
107.0	47.0
108.0	61.0
109.0	50.0
110.0	59.0
111.0	60.0
112.0	72.0
113.0	71.0
114.0	78.0
115.0	96.0
116.0	85.0
117.0	101.0
118.0	82.0
119.0	92.0
120.0	76.0
121.0	78.0
122.0	86.0
123.0	94.0
124.0	114.0
125.0	78.0
126.0	112.0
127.0	138.0
128.0	125.0
129.0	123.0
130.0	165.0
131.0	162.0
132.0	151.0
133.0	160.0
134.0	143.0
135.0	150.0
136.0	171.0
137.0	139.0
138.0	175.0
139.0	174.0
140.0	171.0
141.0	161.0
142.0	171.0
143.0	180.0
144.0	179.0
145.0	131.0
146.0	130.0
147.0	111.0
148.0	113.0
149.0	128.0
150.0	90.0
151.0	84.0
152.0	104.0
153.0	112.0
154.0	129.0
155.0	89.0
156.0	102.0
157.0	78.0
158.0	86.0
159.0	85.0
160.0	77.0
161.0	67.0
162.0	53.0
163.0	31.0
164.0	34.0
165.0	17.0
166.0	16.0
167.0	21.0
168.0	12.0
169.0	15.0
170.0	23.0
171.0	31.0
172.0	25.0
173.0	12.0
174.0	13.0
175.0	9.0
176.0	2.0
178.0	2.0
