#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	9.841712457967686E-5
20.0	8.201427048306405E-5
21.0	8.201427048306405E-5
22.0	4.1007135241532026E-4
23.0	5.905027474780611E-4
24.0	0.0010825883703764454
25.0	0.0015254654309849913
26.0	0.0015254654309849913
27.0	0.0026736652177478883
28.0	0.003625030755351431
29.0	0.004609202001148199
30.0	0.005560567538751743
31.0	0.0070860329697367335
32.0	0.008037398507340277
33.0	0.00869351267120479
34.0	0.010005740998933813
35.0	0.012876240465841056
36.0	0.01458213729188879
37.0	0.017715082424341836
38.0	0.02030673337160666
39.0	0.02473550397769212
40.0	0.02927909456245387
41.0	0.03461002214385303
42.0	0.03918641843680801
43.0	0.04407446895759862
44.0	0.05239071598458132
45.0	0.056803083736570156
46.0	0.06149430000820143
47.0	0.0642827852046256
48.0	0.06552940211596818
49.0	0.06456163372426803
50.0	0.06323300254244238
51.0	0.061674731403264155
52.0	0.043434757647830724
53.0	0.042532600672517025
54.0	0.03487246780939883
55.0	0.02719593209218404
56.0	0.021143278930533912
57.0	0.015402279996719429
58.0	0.010973509390633969
59.0	0.0071680472402198
60.0	0.005462150414172066
61.0	0.0034610022143853037
62.0	0.0022307881571393424
63.0	0.0013778397441154761
64.0	8.365455589272533E-4
65.0	4.7568276880177154E-4
66.0	9.841712457967686E-5
67.0	1.6402854096612813E-4
68.0	6.561141638645124E-5
69.0	3.280570819322562E-5
70.0	1.640285409661281E-5
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	1.640285409661281E-5
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.640285409661281E-5
