#Duplication rate	Coverage
1.0	1981625.0
2.0	1206490.0
3.0	505129.0
4.0	194633.0
5.0	76963.0
6.0	31875.0
7.0	14104.0
8.0	6182.0
9.0	2746.0
10.0	1169.0
11.0	528.0
12.0	232.0
13.0	98.0
14.0	50.0
15.0	18.0
16.0	9.0
17.0	4.0
18.0	2.0
19.0	0.0
20.0	1.0
21.0	2.0
22.0	1.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
