#Coverage	Number of genomic locations
0.0	302481.0
1.0	85567.0
2.0	93129.0
3.0	109563.0
4.0	126595.0
5.0	145407.0
6.0	165235.0
7.0	182284.0
8.0	195444.0
9.0	203815.0
10.0	207552.0
11.0	207128.0
12.0	203261.0
13.0	198033.0
14.0	193284.0
15.0	182910.0
16.0	171439.0
17.0	162044.0
18.0	153469.0
19.0	143662.0
20.0	133285.0
21.0	125321.0
22.0	115481.0
23.0	106273.0
24.0	97246.0
25.0	88794.0
26.0	80912.0
27.0	72942.0
28.0	65065.0
29.0	58929.0
30.0	52534.0
31.0	47258.0
32.0	41562.0
33.0	37049.0
34.0	32914.0
35.0	29008.0
36.0	25649.0
37.0	22299.0
38.0	19559.0
39.0	17408.0
40.0	15394.0
41.0	13315.0
42.0	11493.0
43.0	10379.0
44.0	9121.0
45.0	8201.0
46.0	7188.0
47.0	6434.0
48.0	5833.0
49.0	5237.0
50.0	4784.0
51.0	4048.0
52.0	3585.0
53.0	3239.0
54.0	2874.0
55.0	2477.0
56.0	2134.0
57.0	1914.0
58.0	1633.0
59.0	1318.0
60.0	1176.0
61.0	993.0
62.0	909.0
63.0	761.0
64.0	596.0
65.0	544.0
66.0	515.0
67.0	410.0
68.0	321.0
69.0	284.0
70.0	184.0
71.0	154.0
72.0	122.0
73.0	100.0
74.0	106.0
75.0	72.0
76.0	72.0
77.0	26.0
78.0	22.0
79.0	21.0
80.0	14.0
81.0	17.0
82.0	9.0
83.0	7.0
84.0	7.0
85.0	3.0
86.0	3.0
87.0	3.0
88.0	3.0
89.0	2.0
90.0	4.0
91.0	2.0
92.0	2.0
