#Coverage (X)	Coverage
1.0	93.73726540444795
2.0	91.96563872000299
3.0	90.03744418828309
4.0	87.76899099455366
5.0	85.14789781473772
6.0	82.13731054037854
7.0	78.71619334327842
8.0	74.94208418265146
9.0	70.89550307410886
10.0	66.67560413304334
11.0	62.378332268774116
12.0	58.0898391359575
13.0	53.88141051853523
14.0	49.78122531628796
15.0	45.779366047220876
16.0	41.992295834968125
17.0	38.44272757670778
18.0	35.0876786156106
19.0	31.91017121632015
20.0	28.935713390981704
21.0	26.17610673612353
22.0	23.581391159776004
23.0	21.190408407705803
24.0	18.990073200955294
25.0	16.976638015012853
26.0	15.138197730573665
27.0	13.462950751109474
28.0	11.9527190774878
29.0	10.605577186064565
30.0	9.385478446040281
31.0	8.297785337240953
32.0	7.319329462271625
33.0	6.458806734363648
34.0	5.691723664582057
35.0	5.0102539310186245
36.0	4.409656190506752
37.0	3.87860505129035
38.0	3.4169141723716194
39.0	3.0119537750098004
40.0	2.651528876125667
41.0	2.3328029516413977
42.0	2.0571217976523
43.0	1.8191643434430063
44.0	1.6042717638521111
45.0	1.4154255148446424
46.0	1.2456274567248897
47.0	1.0968031131369287
48.0	0.9635900042547831
49.0	0.8428203331155828
50.0	0.7343905769427721
51.0	0.6353399843266345
