#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	2.7247213972371324E-5
26.0	4.087082095855699E-5
27.0	0.0
28.0	4.087082095855699E-5
29.0	1.2261246287567098E-4
30.0	3.678373886270129E-4
31.0	4.7682624451649816E-4
32.0	8.310400261573253E-4
33.0	0.0016484564453284653
34.0	0.002493120078471976
35.0	0.003596632244353015
36.0	0.004672897196261683
37.0	0.007097899239802731
38.0	0.009373041606495736
39.0	0.012901555815917821
40.0	0.016811531020953105
41.0	0.02374594697692161
42.0	0.029004659273589275
43.0	0.03521702405928994
44.0	0.041497506879921535
45.0	0.0506525707746383
46.0	0.05389498923735048
47.0	0.06326803084384622
48.0	0.065379689926705
49.0	0.06938503038064359
50.0	0.07302253344595515
51.0	0.07492983842402115
52.0	0.057709599193482466
53.0	0.05821367265197134
54.0	0.052273780005994384
55.0	0.044072368600310614
56.0	0.03809160513337511
57.0	0.029535979946050516
58.0	0.02362333451404594
59.0	0.016825154627939293
60.0	0.01272444892509741
61.0	0.00844663633143511
62.0	0.006212364785700663
63.0	0.004495790305441268
64.0	0.0029290755020299174
65.0	0.001771068908204136
66.0	0.0010898885588948532
67.0	6.948039562954687E-4
68.0	2.9971935369608457E-4
69.0	2.4522492575134195E-4
70.0	9.536524890329964E-5
71.0	5.449442794474265E-5
72.0	4.087082095855699E-5
73.0	0.0
74.0	0.0
75.0	1.3623606986185662E-5
76.0	0.0
77.0	0.0
78.0	1.3623606986185662E-5
79.0	0.0
80.0	1.3623606986185662E-5
81.0	0.0
82.0	0.0
83.0	0.0
84.0	1.3623606986185662E-5
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
