"NO","X","Y","Year"
"1","'-71.355","'-44.198","1950"
"2","'-72.736","'-42.405","1950"
"3","'-67.602","'-39.025","1933"
"4","'-68.234","'-38.954","1950"
"5","'-62.267","'-38.782","1905"
"6","'-62.605","'-38.773","1933"
"7","'-62.274","'-38.725","1927"
"8","'-62.916","'-38.109","1905"
"9","'-59.808","'-37.678","1941"
"10","'-65.648","'-37.326","1932"
"11","'-73.02181","'-36.92303","1985"
"12","'-73.13839","'-36.856","1931"
"13","'-73.055","'-36.826","1950"
"14","'-65.43","'-36.24","1933"
"15","'-65.438","'-36.22","1935"
"16","'-64.599","'-36.011","1940"
"17","'-72.321","'-35.962","1950"
"18","'-71.66","'-35.423","1950"
"19","'-60.51","'-35.121","1933"
"20","'-57.52","'-35.083","1928"
"21","'-58.42","'-35.039","1937"
"22","'-63.018","'-35.037","1934"
"23","'-59.383","'-34.9","1905"
"24","'-56.15524","'-34.86903","1929"
"25","'-58.41","'-34.665","1905"
"26","'-58.383558","'-34.60097","1899"
"27","'-62.042","'-34.334","1958"
"28","'-59.22","'-34.255","1933"
"29","19.422","'-34.226","1928"
"30","'-60.738","'-34.201","1932"
"31","22.13333333","'-34.18333333","1901"
"32","20.95","'-34.09","1929"
"33","18.75298","'-34.05351","1928"
"34","18.482","'-33.979","1926"
"35","25.58333333","'-33.96666667","1938"
"36","25.57","'-33.933","1938"
"37","25.57858","'-33.9242","1938"
"38","18.41666667","'-33.91666667","1900"
"39","25.4","'-33.88333333","1952"
"40","151.2364","'-33.84347","1899"
"41","25.67265","'-33.79584","1982"
"42","25.49927","'-33.77458","1938"
"43","25.41","'-33.77","1928"
"44","25.4","'-33.76666667","1923"
"45","25.66666667","'-33.76666667","1982"
"46","25.394","'-33.764","1929"
"47","25.3997","'-33.75774","1957"
"48","25.40073","'-33.75689","1936"
"49","'-70.66406","'-33.72434","1941"
"50","'-59.024","'-33.686","1939"
"51","'-70.98764","'-33.67685","1933"
"52","'-70.647518","'-33.475027","1941"
"53","'-70.64359","'-33.43968","1928"
"54","'-70.6508","'-33.43871","1929"
"55","'-63.305","'-33.423","1928"
"56","'-67.174","'-33.418","1933"
"57","25.45","'-33.41666667","1960"
"58","'-59.079","'-33.416","1905"
"59","25.428","'-33.402","1960"
"60","'-66.348","'-33.316","1905"
"61","23.49495","'-33.28433","1936"
"62","'-62.603","'-33.219","1905"
"63","26.17339","'-33.20095","1936"
"64","'-63.514","'-33.036","1928"
"65","27.91666667","'-33.03333333","1903"
"66","'-64.181","'-33.013","1950"
"67","27.90175","'-32.99888","1962"
"68","'-60.664","'-32.938","1927"
"69","'-68.83","'-32.897","1905"
"70","27.4","'-32.88333333","1907"
"71","21.94819","'-32.85327","1931"
"72","'-68.587","'-32.729","1940"
"73","27.55","'-32.7","1903"
"74","'-64.983","'-32.626","1930"
"75","'-61.041","'-32.503","1940"
"76","'-65.195","'-32.344","1933"
"77","'-64.281","'-32.336","1933"
"78","24.54","'-32.301","1926"
"79","'-65.792","'-32.237","1932"
"80","'-65.05","'-32.228","1940"
"81","'-58.141","'-32.224","1939"
"82","25.61666667","'-32.18333333","1925"
"83","'-63.894","'-32.173","1940"
"84","18.305","'-32.094","1934"
"85","'-60.641","'-32.073","1931"
"86","'-52.099","'-32.041","1965"
"87","27.38192","'-32.01404","1938"
"88","'-68.54","'-31.972","1928"
"89","'-65.187","'-31.947","1905"
"90","26.884","'-31.901","1935"
"91","'-63.81","'-31.79","1933"
"92","27.01666667","'-31.75","1917"
"93","27.22999","'-31.69015","1939"
"94","'-63.876","'-31.682","1905"
"95","26.84784","'-31.66467","1929"
"96","'-63.91","'-31.654","1940"
"97","'-64.263","'-31.649","1933"
"98","'-60.698","'-31.617","1905"
"99","'-68.527","'-31.534","1905"
"100","27.348","'-31.479","1928"
"101","19.769","'-31.47","1929"
"102","19.78333333","'-31.46666667","1925"
"103","19.8056","'-31.46381","1936"
"104","26.36666667","'-31.4","1922"
"105","'-58.023","'-31.398","1927"
"106","'-66.982","'-31.391","1905"
"107","20.91666667","'-31.35","1925"
"108","20.91","'-31.342","1935"
"109","20.92621","'-31.33956","1954"
"110","'-63.618","'-31.333","1941"
"111","'-54.101","'-31.325","1926"
"112","'-64.18","'-31.316","1905"
"113","26.65749","'-31.26329","1938"
"114","'-60.986","'-31.142","1928"
"115","'-71.637","'-30.99","1950"
"116","'-64.811","'-30.724","1941"
"117","26.72356","'-30.69314","1938"
"118","24.01666667","'-30.65","1924"
"119","'-65.384","'-30.633","1933"
"120","27.16644","'-30.61583","1935"
"121","23.503","'-30.595","1940"
"122","'-64.206","'-30.591","1928"
"123","'-59.925","'-30.579","1940"
"124","22.94","'-30.56","1928"
"125","'-61.96","'-30.55","1928"
"126","25.99893","'-30.49079","1930"
"127","20.48333333","'-30.45","1953"
"128","26.83685","'-30.41078","1935"
"129","'-66.315","'-30.359","1934"
"130","27.093","'-30.304","1929"
"131","27.09126","'-30.29702","1934"
"132","27.08832","'-30.29378","1936"
"133","25.27","'-30.267","1940"
"134","25.26649","'-30.24869","1936"
"135","'-64.499","'-30.224","1927"
"136","26.54","'-30.217","1933"
"137","26.52786","'-30.20152","1936"
"138","26.5258","'-30.20063","1936"
"139","'-69.265","'-30.197","1905"
"140","27.48","'-30.159","1943"
"141","'-51.18","'-30.05","1983"
"142","'-51.21","'-30.04","1927"
"143","25.78835","'-30.03967","1936"
"144","25.79281","'-30.03522","1940"
"145","'-51.217699","'-30.034632","1906"
"146","27.4217","'-29.95865","1972"
"147","'-51.1","'-29.95","1967"
"148","'-51.71","'-29.94","1967"
"149","27.4","'-29.93333333","1972"
"150","31.01666667","'-29.85","1900"
"151","27.252","'-29.831","1936"
"152","30.8","'-29.811","1928"
"153","25.43644","'-29.76542","1936"
"154","25.31","'-29.756","1935"
"155","25.31121","'-29.74798","1936"
"156","25.33207","'-29.745","1935"
"157","30.83043","'-29.74388","1905"
"158","25.942","'-29.742","1926"
"159","27.76666667","'-29.73333333","1967"
"160","25.93323","'-29.72861","1936"
"161","27.03323","'-29.72354","1936"
"162","27.02911","'-29.72115","1936"
"163","'-53.81545","'-29.68725","1912"
"164","24.204","'-29.672","1929"
"165","'-64.85","'-29.64","1940"
"166","27.51666667","'-29.63333333","1972"
"167","24.081","'-29.628","1935"
"168","30.38333333","'-29.61666667","1883"
"169","'-52.801","'-29.612","1988"
"170","28.27","'-29.61","1935"
"171","30.383","'-29.601","1930"
"172","26.672","'-29.585","1936"
"173","31.09844","'-29.57813","1936"
"174","28.26782","'-29.52567","1968"
"175","'-66.855","'-29.413","1932"
"176","25.001","'-29.412","1935"
"177","24.9999","'-29.40102","1935"
"178","24.99733","'-29.40042","1936"
"179","21.19057","'-29.34747","1956"
"180","27.492","'-29.308","1942"
"181","'-65.056","'-29.27","1933"
"182","26.1454","'-29.21511","1933"
"183","27.461","'-29.195","1949"
"184","26.81894","'-29.18851","1936"
"185","'-51.513","'-29.172","1956"
"186","24.767","'-29.132","1905"
"187","24.80095","'-29.12397","1936"
"188","26.22986","'-29.11378","1936"
"189","26.21613","'-29.11258","1936"
"190","26.22025","'-29.10898","1905"
"191","26.22574","'-29.10898","1935"
"192","27.55714","'-28.9063","1936"
"193","28.056","'-28.878","1968"
"194","24.76666667","'-28.73333333","1924"
"195","'-49.35","'-28.7","1974"
"196","26.47287","'-28.69829","1935"
"197","26.47302","'-28.69827","1926"
"198","26.46023","'-28.68727","1934"
"199","24.77","'-28.66","1935"
"200","'-65.126","'-28.637","1933"
"201","16.487","'-28.605","1931"
"202","25.243","'-28.544","1932"
"203","25.22736","'-28.53959","1905"
"204","27.02637","'-28.53627","1930"
"205","25.22839","'-28.53597","1933"
"206","27.023","'-28.52","1926"
"207","27.01538","'-28.5043","1934"
"208","'-64.853","'-28.496","1940"
"209","'-65.781","'-28.466","1905"
"210","27.07031","'-28.40106","1939"
"211","'-69.216","'-28.344","1932"
"212","27.63613","'-28.32803","1936"
"213","27.626","'-28.325","1935"
"214","27.6","'-28.31666667","1916"
"215","'-65.214","'-28.203","1933"
"216","30.159","'-28.17","1949"
"217","27.145","'-28.089","1940"
"218","27.13589","'-28.0841","1935"
"219","'-64.235","'-27.979","1940"
"220","27.91489","'-27.90038","1935"
"221","27.928","'-27.885","1931"
"222","'-54.452","'-27.868","1986"
"223","24.6","'-27.85","1951"
"224","'-65.192","'-27.839","1905"
"225","25.911","'-27.836","1926"
"226","25.91666667","'-27.83333333","1916"
"227","25.93048","'-27.83331","1935"
"228","25.93185","'-27.83179","1936"
"229","'-64.269","'-27.79","1905"
"230","24.25781","'-27.68353","1926"
"231","27.235","'-27.665","1905"
"232","27.23247","'-27.6582","1935"
"233","27.23234","'-27.65804","1936"
"234","'-65.68","'-27.64","1938"
"235","'-66.314","'-27.583","1905"
