Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad
NODE0	NA	NA	0.0	black	0.0	17.8205156002536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.429372282956118e-09	1.0	2.148814885614286e-07	-4090-04-02	-4089.750250055951	0.1	0.1	16.185768973082304	-4089.750250055951	0.0	False
SAMEA3541827	NA	NA	3.8504e-06	grey	3.8504e-06	1.0	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.09799740000001	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0	2.795599811520207e-09	0.296477827752473	3.655185896203532e-06	-2876-01-01	-2875.9998939484008	1213.75035610755	1213.85035610755	1.0	-2776.5	3.655185896203532e-06	False
NODE1	100.0	85.0	1.32708e-05	black	1.32708e-05	3.15625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.314330795223022e-08	1.393868813090258	7.960979839411123e-06	-3465-04-24	-3464.6896105485	625.060639507451	625.160639507451	3.15625	-3464.6896105485	7.960979839411123e-06	False
SAMEA104233046	NA	NA	2.2484e-06	grey	1.55192e-05	2.0	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.350000300000005	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0	2.4563741632176997e-09	0.26050240562223553	2.150223970500919e-06	-2582-04-23	-2581.691944273903	882.9976662745967	1508.1583057820476	2.0	-2546.5	1.011120380991204e-05	False
NODE2	100.0	94.6	1.36364e-05	black	2.69072e-05	4.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9426388451355147e-08	2.0601995412217358	1.3785549344431451e-05	-2728-10-08	-2727.232396879083	737.4572136694169	1362.6178531768678	4.3125	-2727.232396879083	2.1746529183842574e-05	False
SAMEA104233047	NA	NA	2.683e-07	grey	2.7175499999999998e-05	3.0	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0	1.9813987846459535e-09	0.21013050765080016	4.298749073849669e-07	-2536-09-16	-2535.2922479283557	191.94014895072723	1554.558002127595	3.0	-2457.0	2.217640409122754e-05	False
NODE3	100.0	53.7	1.1231e-06	black	2.8030299999999998e-05	5.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.571904278807618e-08	1.667029608798969	4.297889639929111e-07	-2700-12-07	-2699.067236012694	28.16516086638876	1390.7830140432566	5.625	-2699.067236012694	2.2176318147835485e-05	False
NODE4	100.0	98.7	1.173e-06	red	2.92033e-05	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.429372282956118e-09	1.0	1.0747765874477026e-06	-2568-07-07	-2567.4860397914995	131.58119622119466	1522.3642102644512	4.5	-2567.4860397914995	2.3251094735283188e-05	False
SAMEA6812876	NA	NA	2.346e-07	grey	2.9437899999999998e-05	4.0	GLZ001	[-2838:-2495]	[-4859:-4516]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812876	KEEP: SRA Ancient	0	9.429372282956118e-09	1.0	2.149160601715428e-07	-2545-04-22	-2544.693848145826	22.792191645673483	1545.1564019101247	4.0	-2666.5	2.3466010795454732e-05	False
SAMEA6812877	NA	NA	2.35e-08	grey	2.92268e-05	5.0	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0	9.429372282956118e-09	1.0	3.388805119518257e-20	-2568-09-04	-2567.3260197848563	0.16002000664320803	1522.5242302710944	5.0	-2518.0	2.325109473528322e-05	False
NODE5	100.0	83.5	1.09091e-05	black	3.89394e-05	6.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7935327216032203e-08	2.962586095632916	9.685340055197032e-06	-2365-06-16	-2364.5448651213806	334.5223708913136	1725.3053849345702	6.75	-2364.5448651213806	3.1861658203032515e-05	False
SAMEA104233049	NA	NA	2.55e-07	grey	3.91944e-05	6.0	1343UnTal85	[-2396:-2148]	[-4417:-4169]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233049	KEEP: SRA Ancient	0	9.429372282956118e-09	1.0	2.1489845529359002e-07	-2342-03-31	-2341.7545405011483	22.79032462023224	1748.0957095548024	6.0	-2272.0	3.2076556658326106e-05	False
NODE6	NA	NA	1.27143e-05	black	5.16537e-05	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5226999465226796e-08	2.6753636093916215	1.1629384274528039e-05	-1921-12-06	-1920.0687217739633	444.4761433474173	2169.7815282819874	7.5	-1920.0687217739633	4.349104247756055e-05	False
SAMEA104233048	NA	NA	7.747e-07	grey	5.24284e-05	7.0	Post6	[-2007:-1882]	[-4028:-3903]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233048	KEEP: SRA Ancient	0	1.5665075798360292e-08	1.6613063232931635	6.448317841619634e-07	-1882-01-01	-1881.9998939484012	38.06882782556204	2207.8503561075495	7.0	-1944.5	4.4135874261722516e-05	False
SAMEA3541826	NA	NA	3.2367e-06	grey	5.4890400000000006e-05	8.0	RISE505	[-1746:-1626]	[-3767:-3647]	Russia	Altai Krai	64.6863136	97.7453061	52.693224300000004	82.69314240000001	Bronze Age	0.PRE	0.PRE1	SAMEA3541826	KEEP: SRA Ancient	0	9.429372282956118e-09	1.0	2.5797935169203615e-06	-1647-07-10	-1646.4774964509993	273.59122532296396	2443.3727536049514	8.0	-1686.0	4.6070835994480914e-05	False
NODE7	100.0	55.6	5.184e-06	black	5.184e-06	34.6410312005072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1756805542315925e-08	1.246828016703372	4.946017585754593e-06	-3689-12-23	-3688.022799120519	401.727450935432	401.827450935432	31.371537946164608	-3688.022799120519	4.946017585754593e-06	False
NODE8	100.0	100.0	3.71597e-05	red	4.2343700000000006e-05	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.031558578109374e-09	0.6396564264422566	3.2833059181749225e-05	1949-02-04	1949.0935446470621	5637.1163437675805	6038.943794703013	9.5	1949.0935446470621	3.777907676750382e-05	False
GCA_000323485.1_ASM32348v1_genomic	NA	NA	2.346e-07	grey	4.2578300000000005e-05	9.0	620024	1962	-59	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403008	KEEP: Assembly Modern Cui 2013 Keller 2019	0	1.105497918599796e-08	1.1723982100038808	2.148939058449593e-07	1962-01-01	1962.0	12.906455352937883	6051.850250055951	9.0	1962.0	3.7993970673348774e-05	False
GCA_000323845.1_ASM32384v1_genomic	NA	NA	2.35e-08	grey	4.23672e-05	10.0	CMCC05009	1961	-60	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403027	KEEP: Assembly Modern Cui 2013	0	5.7171269467941366e-09	0.6063104494376599	3.407935944120026e-20	1961-01-01	1961.0	11.906455352937883	6050.850250055951	10.0	1961.0	3.777907676750385e-05	False
NODE9	100.0	94.4	1.86931e-05	black	2.38771e-05	59.7820624010144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5477954584015373e-08	1.6414618194672677	1.7022640007449056e-05	-2626-02-15	-2625.8761547058307	1062.1466444146881	1463.97409535012	53.243075892329216	-2625.8761547058307	2.196865759320365e-05	False
NODE10	100.0	99.8	3.67485e-05	red	6.06256e-05	24.34326171875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.312823509294695e-08	1.3922703122748308	3.218718681420147e-05	-290-04-13	-289.7197606791651	2336.1563940266656	3800.1304893767856	22.154296875	-289.7197606791651	5.415584440740512e-05	False
NODE11	100.0	99.6	1.86279e-05	red	7.92535e-05	12.7421875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.98437627163217e-09	1.0588590599693724	1.6806716414590705e-05	1149-08-03	1149.586682828809	1439.306443507974	5239.43693288476	14.375	1149.586682828809	7.096256082199582e-05	False
GCA_001294825.1_ASM129482v1_genomic	NA	NA	2.346e-07	grey	7.94881e-05	11.0	C-537	1984	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN03839871	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	9.429372282956118e-10	0.1	2.1489882624594335e-07	1984-01-01	1984.0	834.413317171191	6073.850250055951	11.0	1984.0	7.117745964824176e-05	False
GCA_002127375.1_ASM212737v1_genomic	NA	NA	9.384e-07	grey	8.09192e-05	13.0	C-739	1998	-23	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04992974	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	3.835365044321258e-09	0.4067465923743194	8.596528271597177e-07	1998-01-01	1998.0	364.6701185883037	5604.107051473064	13.0	1998.0	7.246691704336027e-05	False
GCA_006376585.1_ASM637658v1_genomic	NA	NA	2.35e-08	grey	7.932400000000002e-05	14.0	C-371	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN12012142	KEEP: Assembly Modern	0	9.429372282956118e-10	0.1	3.2012357410341205e-20	1978-01-01	1978.0	828.413317171191	6067.850250055951	12.0	1978.0	7.096256082199585e-05	False
NODE17	100.0	53.3	1.4076e-06	black	8.07815e-05	15.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.803257966715995e-08	1.9123838921658014	1.289548324992245e-06	1391-01-01	1391.0023566135292	241.41567378472018	5480.852606669479	14.5	1391.0023566135292	7.225210914698806e-05	False
GCA_002127355.1_ASM212735v1_genomic	NA	NA	2.8244e-06	grey	8.36059e-05	15.0	C-712	1996	-25	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04993042	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	7.477852926672428e-09	0.793038253478323	2.579632653343268e-06	1996-01-01	1996.0	604.9976433864708	6085.85025005595	14.0	1996.0	7.483174180033133e-05	False
GCA_002127365.1_ASM212736v1_genomic	NA	NA	9.7353e-06	grey	9.05168e-05	16.0	C-746	1997	-24	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04992968	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	2.4009323138245545e-08	2.5462270889063463	8.824107718172597e-06	1997-01-01	1997.0	605.9976433864708	6086.85025005595	15.0	1997.0	8.107621686516066e-05	False
GCA_001972465.1_ASM197246v1_genomic	NA	NA	8.5679e-06	grey	9.057030000000002e-05	19.0	C-370	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN05521420	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	2.470594840498566e-08	2.620105311744073	7.74500730159504e-06	1978-01-01	1978.0	527.4852866575841	5766.922219542344	16.0	1978.0	8.107188719683263e-05	False
NODE20	78.0	72.2	7.038e-07	black	8.002780000000001e-05	21.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0884808365096304e-09	0.3275383285154787	6.446952551103594e-07	1779-09-01	1779.6673397763986	630.0806569475897	5869.51758983235	17.75	1779.6673397763986	7.160725607710618e-05	False
GCA_008630415.1_ASM863041v1_genomic	NA	NA	2.135e-06	grey	8.216280000000002e-05	20.0	C-672	1988	-33	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN12720423	KEEP: Assembly Modern	0	1.082170647636357e-08	1.1476592663463017	1.937163002915287e-06	1988-01-01	1988.0	208.33266022360135	6077.850250055951	17.0	1988.0	7.354441908002147e-05	False
NODE23	93.0	49.4	4.692e-07	black	8.052050000000002e-05	23.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5281784224372184e-09	0.268117362065233	4.297840526621393e-07	1995-05-20	1995.3820624112805	215.7147226348818	6085.232312467231	18.5	1995.3820624112805	7.203704012976833e-05	False
GCA_008630455.1_ASM863045v1_genomic	NA	NA	2.346e-07	grey	8.075510000000002e-05	23.0	C-826	2011	-10	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN12721149	KEEP: Assembly Modern	0	1.0358057622732807e-08	1.0984885644461526	2.1489417767249315e-07	2011-01-01	2011.0	15.617937588719542	6100.850250055951	18.0	2011.0	7.225193430744082e-05	False
GCA_015338205.1_ASM1533820v1_genomic	NA	NA	2.35e-08	grey	8.054400000000002e-05	24.0	C-830	2012	-9	Russia	NA	64.6863136	97.7453061	NA	NA	Caucasica	0.PE	0.PE2	SAMN16619722	KEEP: Assembly Modern No Province	0	3.902571508053881e-09	0.4138739452580422	3.1976781688784366e-20	2012-01-01	2012.0	16.617937588719542	6101.850250055951	19.0	2012.0	7.203704012976835e-05	False
NODE24	100.0	99.6	1.83263e-05	red	7.895189999999999e-05	35.9443359375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2573532870826034e-08	1.333443255130894	1.619721190757686e-05	1125-09-27	1125.7383939108217	1415.4581545899869	5215.588643966772	29.93359375	1125.7383939108217	7.035305631498198e-05	False
