Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Biogroup	Alternative Name	Species	Disease	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	O Serotype	Contact Name	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Species	Contig Number	No. N's	Assembly Barcode
YER_AA0755AA	El Dorado	SRR2148847;LS454;Paired;;SRX1136403,SRR2148848;PACBIO_SMRT;Single;;SRX1136404,GCF_000834495;Complete Genome;;;,SRR2148846;ILLUMINA;Paired;;SRX1136402	Human	Human	Human; Human Clinical; Age: 53; male	2002				North America	United States	New York		New York				Los Alamos National Laboratory			Yersinia pestis			PRJNA240085	SRP062156	SAMN03145064	SRS1025033			2015-08-26	2015-08-12	YER_AA0755AA	Assembled	1	NaN	4662886	4838262		4	0	YER_CA7865AA_AS
YER_AA0760AA	CO92-2015-Los Alamos	SRR2891673;ILLUMINA;Paired;;SRX1136375,GCA_001293415;Complete Genome;;;,SRR2148797;PACBIO_SMRT;Single;;SRX1136377,SRR2148796;ILLUMINA;Paired;;SRX1151848,SRR2148795;ILLUMINA;Paired;;SRX1136375,GCF_001293415;Complete Genome;;;	Human	Human	Human Clinical Sample (fatal pneumonic plague)	1992				North America	United States	Colorado						Los Alamos National Laboratory			Yersinia pestis		Genotype: 1.ORI1e	PRJNA235224	SRP062147	SAMN03160774	SRS1025015			2015-08-26	2015-08-11	YER_AA0760AA	Assembled	1	NaN	4556337	4722852		3	0	YER_CA7836AA_AS
YER_AA0763AA	Pestoides F	GCF_000834315;Complete Genome;;;,SRR2148411;PACBIO_SMRT;Single;;SRX1136231,SRR2148410;LS454;Paired;;SRX1136230,SRR2148409;ILLUMINA;Paired;;SRX1136229								Europe	Russia							Los Alamos National Laboratory			Yersinia pestis		Genotype: 0.PE2a	PRJNA239345	SRP062134	SAMN03121016	SRS1024789			2015-08-26	2015-08-11	YER_AA0763AA	Assembled	1	NaN	4519828	4728318		3	0	YER_CA7874AA_AS
YER_AA0765AA	Shasta	SRR2147692;PACBIO_SMRT;Single;;SRX1135283,SRR2147690;ILLUMINA;Paired;;SRX1135281,SRR2147691;LS454;Paired;;SRX1135282,GCF_000834335;Complete Genome;;;	Human	Human	ND	1954				North America	United States	California						Los Alamos National Laboratory			Yersinia pestis			PRJNA239341	SRP062120	SAMN03120838	SRS1024603			2015-08-26	2015-08-11	YER_AA0765AA	Assembled	1	NaN	4659530	4835409		4	0	YER_CA7873AA_AS
YER_AA0767AA	KIM5	SRR2145879;ILLUMINA;Paired;;SRX1133844,SRR2145881;PACBIO_SMRT;Single;;SRX1133846,GCF_000970105;Chromosome;;;,SRR2145880;LS454;Paired;;SRX1133845	Laboratory	Laboratory	Electroporation of Y pestis Kim6+ in pCD1Ap+	2007												Los Alamos National Laboratory			Yersinia pestis		speciec_cluster:1	PRJNA240083	SRP062051	SAMN03160723	SRS1023828			2015-08-26	2015-08-10	YER_AA0767AA	Assembled	1	NaN	4605437	4787503		4	1000	YER_DA1041AA_AS
YER_AA0768AA	Harbin35_LANL	GCF_000834275;Complete Genome;;;,SRR1283951;LS454;Paired;8727;SRX540763,SRR1993645;ILLUMINA;Paired;;SRX1007575,SRR1283953;PACBIO_SMRT;Single;;SRX540766,SRR1283952;ILLUMINA;Paired;270;SRX540764	Human	Human	Human	1940				Asia	China	Liaoning Sheng						Los Alamos National Laboratory	Medievalis		Yersinia pestis			PRJNA240100	SRP041901	SAMN02769655	SRS605759			2015-08-26	2015-05-05	YER_AA0768AA	Assembled	1	NaN	4531804	4709246		4	0	YER_CA7875AA_AS
YER_AA0779AA	PBM19	SRR2175565;LS454;Paired;;SRX1159989,SRR2175564;ILLUMINA;Paired;;SRX1159988,GCF_000834235;Complete Genome;;;																Los Alamos National Laboratory			Yersinia pestis			PRJNA240104	SRP062631	SAMN03074081	SRS1040979			2015-08-26	2015-08-24	YER_AA0779AA	Assembled	1	NaN	4685423	4861517		4	4	YER_CA7877AA_AS
YER_AA0780AA	Dodson	SRR2175561;PACBIO_SMRT;Single;;SRX1159983,SRR2175559;ILLUMINA;Paired;;SRX1159981,GCF_000834775;Complete Genome;;;,SRR2175560;LS454;Paired;;SRX1159982	Human	Human	Clinical Sample; Human (male, 4.5 yrs)	1967				North America	United States	Arizona	Coconino County	Tuba City		36.1	-111.1	Los Alamos National Laboratory			Yersinia pestis			PRJNA240106	SRP062630	SAMN03161124	SRS1040976			2015-08-26	2015-08-24	YER_AA0780AA	Assembled	1	NaN	4654228	4777968		3	0	YER_CA7861AA_AS
YER_AA0781AA	Java9	GCF_000834905;Chromosome;;;,SRR2175555;ILLUMINA;Paired;;SRX1159968,SRR2175556;LS454;Paired;;SRX1159969,SRR2175557;PACBIO_SMRT;Single;;SRX1159970	Wild Animal	Rodent	Rat					Asia	Indonesia							Los Alamos National Laboratory			Yersinia pestis			PRJNA240107	SRP062629	SAMN03216587	SRS1040966			2015-08-26	2015-08-24	YER_AA0781AA	Assembled	1	NaN	4672688	4830559		5	800	YER_DA1043AA_AS
YER_AA0783AA	125 B plague Bombay	SRR1925721;ILLUMINA;Paired;860;SRX965449								Asia	India	Maharashtra	Mumbai	Mumbai		19.1	72.9				Yersinia pestis			PRJNA257008	SRP052870	SAMN03418619	SRS880800			2015-08-27	2015-04-13	YER_AA0783AA	Assembled	204	3.61	57953	4494357	Yersinia pestis;98.59%	162	9211	YER_CA8913AA_AS
