id	Nucleotide_id	NucleotideAccession	NucleotideAccessionVersion	NucleotideBioSampleAccession	NucleotideBioProjectAccession	NucleotideFirstAccession	NucleotideLastAccession	NucleotideOrganism	NucleotideTaxonomy	NucleotideDefinition	NucleotideDivision	NucleotideJournal	NucleotideLength	NucleotideMoleculeType	NucleotideReferenceTitle	NucleotideSeqDataName	NucleotideSource	NucleotideStrandedness	NucleotideTopology	NucleotideCreateDate	NucleotideUpdateDate	NucleotideGenBankComment	NucleotideAnnotationDate	NucleotideAnnotationMethod	NucleotideAnnotationPipeline	NucleotideAnnotationProvider	NucleotideAnnotationSoftwarerevision	NucleotideAssemblyDate	NucleotideAssemblyMethod	NucleotideAssemblyName	NucleotidetCDS	NucleotidetCDSCoding	NucleotidetCRISPRArrays	NucleotidetExpectedFinalVersion	NucleotidetFeaturesAnnotated	NucleotidetGenes	NucleotidetGenesCoding	NucleotidetGenesRNA	NucleotidetGenomeCoverage	NucleotidetGenomeRepresentation	NucleotidetncRNAs	NucleotidetPseudoGenes	NucleotidetPseudoGenesAmbResidues	NucleotidetPseudoGenesFrameshifted	NucleotidetPseudoGenesIncomplete	NucleotidetPseudoGenesInternalStop	NucleotidetPseudoGenesMultipleProblems	NucleotidetrRNAs	NucleotidetrRNAsComplete	NucleotidetrRNAsPartial	NucleotideSequencingTechnology	NucleotidetRNAs	NucleotideComment
1	1723955514	CABMLZ000000000	CABMLZ000000000.1	SAMEA5851981	PRJEB33885	CABMLZ010000001	CABMLZ010000003	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis isolate MGYG-HGUT-02476, whole genome shotgun sequencing project	BCT	Submitted (07-AUG-2019) EMG, The European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, CB10 1SD, United Kingdom	3	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	12-AUG-2019	12-AUG-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession CABMLZ000000000. This version of the project (01) has the accession number CABMLZ010000000, and consists of sequences CABMLZ010000001-CABMLZ010000003.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
2	1517898604	RKJP00000000	RKJP00000000.1	SAMN10228584	PRJNA231221	RKJP01000001	RKJP01000005	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain FDAARGOS_604, whole genome shotgun sequencing project	BCT	Submitted (19-OCT-2018) Center for Devices and Radiological Health, US Food and Drug Administration, 10903 New Hampshire Avenue, Silver Spring, MD 20993-0002, USA	5	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	19-NOV-2018	23-JUL-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession RKJP00000000. This version of the project (01) has the accession number RKJP01000000, and consists of sequences RKJP01000001-RKJP01000005.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Method :: SMRT v. 2.3.0, HGAP v. 3.0 ; Genome Coverage :: 391x ; Sequencing Technology :: PacBio; Illumina ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 11/13/2018 23:21:45 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 4.6 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,708 ; CDS (total) :: 4,605 ; Genes (coding) :: 4,382 ; CDS (coding) :: 4,382 ; Genes (RNA) :: 103 ; rRNAs :: 7, 6, 6 (5S, 16S, 23S) ; complete rRNAs :: 7, 6, 6 (5S, 16S, 23S) ; tRNAs :: 72 ; ncRNAs :: 12 ; Pseudo Genes (total) :: 223 ; Pseudo Genes (ambiguous residues) :: 0 of 223 ; Pseudo Genes (frameshifted) :: 113 of 223 ; Pseudo Genes (incomplete) :: 118 of 223 ; Pseudo Genes (internal stop) :: 31 of 223 ; Pseudo Genes (multiple problems) :: 37 of 223 ; CRISPR Arrays :: 2 ; Sequencing Technology :: PacBio; Illumina ; Genome Coverage :: 391x ; ##Genome-Annotation-Data-END##	11/13/2018 23:21:45	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	4.6	None	SMRT v. 2.3.0 HGAP v. 3.0	None	4605	4382	2	None	Gene	4708	4382	103	391x	None	12	223	0 of 223	113 of 223	118 of 223	31 of 223	37 of 223	7 6 6 (5S 16S 23S)	7 6 6 (5S 16S 23S)	None	PacBio	72	None
3	1517898327	RKJO00000000	RKJO00000000.1	SAMN10228585	PRJNA231221	RKJO01000001	RKJO01000004	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain FDAARGOS_605, whole genome shotgun sequencing project	BCT	Submitted (22-OCT-2018) Center for Devices and Radiological Health, US Food and Drug Administration, 10903 New Hampshire Avenue, Silver Spring, MD 20993-0002, USA	4	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	19-NOV-2018	23-JUL-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession RKJO00000000. This version of the project (01) has the accession number RKJO01000000, and consists of sequences RKJO01000001-RKJO01000004.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Method :: Canu v. 1.7 ; Genome Coverage :: 676x ; Sequencing Technology :: PacBio; Illumina ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 11/13/2018 23:19:33 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 4.6 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,692 ; CDS (total) :: 4,595 ; Genes (coding) :: 4,369 ; CDS (coding) :: 4,369 ; Genes (RNA) :: 97 ; rRNAs :: 7, 6, 6 (5S, 16S, 23S) ; complete rRNAs :: 7, 6, 6 (5S, 16S, 23S) ; tRNAs :: 66 ; ncRNAs :: 12 ; Pseudo Genes (total) :: 226 ; Pseudo Genes (ambiguous residues) :: 0 of 226 ; Pseudo Genes (frameshifted) :: 114 of 226 ; Pseudo Genes (incomplete) :: 122 of 226 ; Pseudo Genes (internal stop) :: 33 of 226 ; Pseudo Genes (multiple problems) :: 37 of 226 ; CRISPR Arrays :: 2 ; Sequencing Technology :: PacBio; Illumina ; Genome Coverage :: 676x ; ##Genome-Annotation-Data-END##	11/13/2018 23:19:33	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline	NCBI	4.6	None	Canu v. 1.7	None	4595	4369	2	None	Gene	4692	4369	97	676x	None	12	226	0 of 226	114 of 226	122 of 226	33 of 226	37 of 226	7 6 6 (5S 16S 23S)	7 6 6 (5S 16S 23S)	None	PacBio	66	None
4	1697048433	VIDZ00000000	VIDZ00000000.1	SAMN12138636	PRJNA551087	VIDZ01000001	VIDZ01000280	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain I_3269, whole genome shotgun sequencing project	BCT	Submitted (26-JUN-2019) Microbiology, Russian Research Anti-Plague institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	280	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-JUL-2019	02-JUL-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VIDZ00000000. This version of the project (01) has the accession number VIDZ01000000, and consists of sequences VIDZ01000001-VIDZ01000280.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 12-APR-2019 ; Assembly Method :: Newbler v. 2,6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/27/2019 18:15:55 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,412 ; CDSs (total) :: 4,338 ; Genes (coding) :: 4,102 ; CDSs (with protein) :: 4,102 ; Genes (RNA) :: 74 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 60 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 236 ; CDSs (without protein) :: 236 ; Pseudo Genes (ambiguous residues) :: 0 of 236 ; Pseudo Genes (frameshifted) :: 167 of 236 ; Pseudo Genes (incomplete) :: 74 of 236 ; Pseudo Genes (internal stop) :: 29 of 236 ; Pseudo Genes (multiple problems) :: 30 of 236 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	06/27/2019 18:15:55	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	12-APR-2019	Newbler v. 26	None	4338	4102	3	Yes	Gene	4412	4102	74	48.0x	Full	10	236	0 of 236	167 of 236	74 of 236	29 of 236	30 of 236	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	60	None
5	1697045099	VIDX00000000	VIDX00000000.1	SAMN12138633	PRJNA551085	VIDX01000001	VIDX01000219	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain I_3193, whole genome shotgun sequencing project	BCT	Submitted (26-JUN-2019) Microbiology, Russian Research Anti-Plague institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	219	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-JUL-2019	02-JUL-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VIDX00000000. This version of the project (01) has the accession number VIDX01000000, and consists of sequences VIDX01000001-VIDX01000219.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 12-APR-2019 ; Assembly Method :: Newbler v. 2,6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/27/2019 18:01:57 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,370 ; CDSs (total) :: 4,295 ; Genes (coding) :: 4,082 ; CDSs (with protein) :: 4,082 ; Genes (RNA) :: 75 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 61 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 213 ; CDSs (without protein) :: 213 ; Pseudo Genes (ambiguous residues) :: 0 of 213 ; Pseudo Genes (frameshifted) :: 163 of 213 ; Pseudo Genes (incomplete) :: 53 of 213 ; Pseudo Genes (internal stop) :: 29 of 213 ; Pseudo Genes (multiple problems) :: 28 of 213 ; CRISPR Arrays :: 1 ; ##Genome-Annotation-Data-END##	06/27/2019 18:01:57	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	12-APR-2019	Newbler v. 26	None	4295	4082	1	Yes	Gene	4370	4082	75	48.0x	Full	10	213	0 of 213	163 of 213	53 of 213	29 of 213	28 of 213	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	61	None
6	1697038164	VIDY00000000	VIDY00000000.1	SAMN12138635	PRJNA551086	VIDY01000001	VIDY01000193	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain I_3196, whole genome shotgun sequencing project	BCT	Submitted (26-JUN-2019) Microbiology, Russian Research Anti-Plague institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	193	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-JUL-2019	02-JUL-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VIDY00000000. This version of the project (01) has the accession number VIDY01000000, and consists of sequences VIDY01000001-VIDY01000193.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 12-APR-2019 ; Assembly Method :: Newbler v. 2,6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/27/2019 18:22:56 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,376 ; CDSs (total) :: 4,301 ; Genes (coding) :: 4,036 ; CDSs (with protein) :: 4,036 ; Genes (RNA) :: 75 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 61 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 265 ; CDSs (without protein) :: 265 ; Pseudo Genes (ambiguous residues) :: 0 of 265 ; Pseudo Genes (frameshifted) :: 212 of 265 ; Pseudo Genes (incomplete) :: 61 of 265 ; Pseudo Genes (internal stop) :: 28 of 265 ; Pseudo Genes (multiple problems) :: 32 of 265 ; CRISPR Arrays :: 2 ; ##Genome-Annotation-Data-END##	06/27/2019 18:22:56	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	12-APR-2019	Newbler v. 26	None	4301	4036	2	Yes	Gene	4376	4036	75	48.0x	Full	10	265	0 of 265	212 of 265	61 of 265	28 of 265	32 of 265	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	61	None
7	1685712186	VEZU00000000	VEZU00000000.1	SAMN12011895	PRJNA548232	VEZU01000001	VEZU01000252	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain C-144, whole genome shotgun sequencing project	BCT	Submitted (11-JUN-2019) The Federal Service for Supervision of Consumer Rights Protection and Human Welfare, Stavropol Plague Control Reseach Institute, Sovetskaya Str. 13-15, Stavropol 355035, Russia	252	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	16-JUN-2019	05-JUL-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VEZU00000000. This version of the project (01) has the accession number VEZU01000000, and consists of sequences VEZU01000001-VEZU01000252.; Bacteria and source DNA available from Stavropol Plague Control Reseach Institute.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 2018 ; Assembly Method :: Newbler v. 3.0 ; Genome Representation :: Full ; Expected Final Version :: No ; Genome Coverage :: 80.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/11/2019 16:53:28 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,166 ; CDSs (total) :: 4,099 ; Genes (coding) :: 3,793 ; CDSs (with protein) :: 3,793 ; Genes (RNA) :: 67 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1 (5S, 23S) ; partial rRNAs :: 1 (16S) ; tRNAs :: 54 ; ncRNAs :: 9 ; Pseudo Genes (total) :: 306 ; CDSs (without protein) :: 306 ; Pseudo Genes (ambiguous residues) :: 0 of 306 ; Pseudo Genes (frameshifted) :: 264 of 306 ; Pseudo Genes (incomplete) :: 48 of 306 ; Pseudo Genes (internal stop) :: 19 of 306 ; Pseudo Genes (multiple problems) :: 22 of 306 ; CRISPR Arrays :: 2 ; ##Genome-Annotation-Data-END##	06/11/2019 16:53:28	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	2018	Newbler v. 3.0	None	4099	3793	2	No	Gene	4166	3793	67	80.0x	Full	9	306	0 of 306	264 of 306	48 of 306	19 of 306	22 of 306	2 1 1 (5S 16S 23S)	2 1 (5S 23S)	1 (16S)	IonTorrent	54	None
8	1695633786	VHPW00000000	VHPW00000000.1	SAMN12131171	PRJNA550535	VHPW01000001	VHPW01000213	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain I_3068, whole genome shotgun sequencing project	BCT	Submitted (25-JUN-2019) Microbiology, Russian Research Anti-Plague institute Microbe, Universitetskaya, 46, Saratov 410005, Russia	213	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	30-JUN-2019	30-JUN-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VHPW00000000. This version of the project (01) has the accession number VHPW01000000, and consists of sequences VHPW01000001-VHPW01000213.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 12-APR-2019 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/25/2019 17:33:15 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,371 ; CDSs (total) :: 4,297 ; Genes (coding) :: 4,092 ; CDSs (with protein) :: 4,092 ; Genes (RNA) :: 74 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 60 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 205 ; CDSs (without protein) :: 205 ; Pseudo Genes (ambiguous residues) :: 0 of 205 ; Pseudo Genes (frameshifted) :: 156 of 205 ; Pseudo Genes (incomplete) :: 54 of 205 ; Pseudo Genes (internal stop) :: 27 of 205 ; Pseudo Genes (multiple problems) :: 28 of 205 ; CRISPR Arrays :: 1 ; ##Genome-Annotation-Data-END##	06/25/2019 17:33:15	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	12-APR-2019	Newbler v. 2.6	None	4297	4092	1	Yes	Gene	4371	4092	74	48.0x	Full	10	205	0 of 205	156 of 205	54 of 205	27 of 205	28 of 205	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	60	None
9	1685738116	VEZZ00000000	VEZZ00000000.1	SAMN12012131	PRJNA548232	VEZZ01000001	VEZZ01000526	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain C-281, whole genome shotgun sequencing project	BCT	Submitted (11-JUN-2019) The Federal Service for Supervision of Consumer Rights Protection and Human Welfare, Stavropol Plague Control Reseach Institute, Sovetskaya Str. 13-15, Stavropol 355035, Russia	526	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	16-JUN-2019	16-JUN-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VEZZ00000000. This version of the project (01) has the accession number VEZZ01000000, and consists of sequences VEZZ01000001-VEZZ01000526.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 2018 ; Assembly Method :: Newbler v. 3.0 ; Genome Representation :: Full ; Expected Final Version :: No ; Genome Coverage :: 80.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/11/2019 16:47:38 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,331 ; CDSs (total) :: 4,268 ; Genes (coding) :: 3,504 ; CDSs (with protein) :: 3,504 ; Genes (RNA) :: 63 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 49 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 764 ; CDSs (without protein) :: 764 ; Pseudo Genes (ambiguous residues) :: 0 of 764 ; Pseudo Genes (frameshifted) :: 658 of 764 ; Pseudo Genes (incomplete) :: 121 of 764 ; Pseudo Genes (internal stop) :: 52 of 764 ; Pseudo Genes (multiple problems) :: 61 of 764 ; CRISPR Arrays :: 1 ; ##Genome-Annotation-Data-END##	06/11/2019 16:47:38	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	2018	Newbler v. 3.0	None	4268	3504	1	No	Gene	4331	3504	63	80.0x	Full	10	764	0 of 764	658 of 764	121 of 764	52 of 764	61 of 764	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	49	None
10	1685731571	VFAB00000000	VFAB00000000.1	SAMN12012142	PRJNA548232	VFAB01000001	VFAB01000199	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain C-371, whole genome shotgun sequencing project	BCT	Submitted (11-JUN-2019) The Federal Service for Supervision of Consumer Rights Protection and Human Welfare, Stavropol Plague Control Reseach Institute, Sovetskaya Str. 13-15, Stavropol 355035, Russia	199	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	16-JUN-2019	16-JUN-2019	The Yersinia pestis whole genome shotgun (WGS) project has the project accession VFAB00000000. This version of the project (01) has the accession number VFAB01000000, and consists of sequences VFAB01000001-VFAB01000199.; Bacteria and source DNA available from Stavropol Plague Control Reseach Institute.; The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 2018 ; Assembly Method :: Newbler v. 3.0 ; Genome Representation :: Full ; Expected Final Version :: No ; Genome Coverage :: 80.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 06/11/2019 16:39:41 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline (PGAP) ; Annotation Method :: Best-placed reference protein set; GeneMarkS-2+ ; Annotation Software revision :: 4.8 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,271 ; CDSs (total) :: 4,207 ; Genes (coding) :: 3,978 ; CDSs (with protein) :: 3,978 ; Genes (RNA) :: 64 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 52 ; ncRNAs :: 8 ; Pseudo Genes (total) :: 229 ; CDSs (without protein) :: 229 ; Pseudo Genes (ambiguous residues) :: 0 of 229 ; Pseudo Genes (frameshifted) :: 188 of 229 ; Pseudo Genes (incomplete) :: 48 of 229 ; Pseudo Genes (internal stop) :: 20 of 229 ; Pseudo Genes (multiple problems) :: 24 of 229 ; CRISPR Arrays :: 2 ; ##Genome-Annotation-Data-END##	06/11/2019 16:39:41	Best-placed reference protein set	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	4.8	2018	Newbler v. 3.0	None	4207	3978	2	No	Gene	4271	3978	64	80.0x	Full	8	229	0 of 229	188 of 229	48 of 229	20 of 229	24 of 229	2 1 1 (5S 16S 23S)	2 1 1 (5S 16S 23S)	None	IonTorrent	52	None
