Name	UFboot	aLRT	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample
NODE0	97.0	80.4	0	red	0	507.0625992020938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE1	100.0	98.9	3.2547e-06	red	3.2547e-06	491.12519840418753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE2	100.0	100.0	1.07393e-05	red	1.3994e-05	466.75039680837506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE3	100.0	100.0	7.8928e-06	red	2.1886800000000002e-05	432.62725846050006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE4	100.0	95.3	1.1722e-06	red	2.3059e-05	399.8040774678751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE5	100.0	100.0	4.7204e-06	red	2.77794e-05	370.4362799357502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE6	100.0	96.9	1.4066e-06	red	2.9186e-05	324.4710584543112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE7	100.0	100.0	3.751e-06	red	3.2937e-05	314.95334737737244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE8	86.0	0.0	2.34e-08	black	3.29604e-05	308.4066947547448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE9	100.0	86.2	4.689e-07	red	3.3429299999999995e-05	298.31338950948964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE10	100.0	90.0	7.033e-07	red	3.413259999999999e-05	283.5017790189793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE11	37.0	67.7	2.34e-08	black	3.415599999999999e-05	259.00355803795856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE12	32.0	0.0	2.34e-08	black	3.4179399999999987e-05	215.2639520134171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE13	72.0	74.7	2.344e-07	black	3.4413799999999986e-05	168.7452464035432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE14	18.0	0.0	2.34e-08	black	3.443719999999998e-05	156.3817281586489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE15	95.0	91.8	4.689e-07	red	3.490609999999998e-05	154.76345631729782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE16	95.0	73.6	2.344e-07	black	3.514049999999998e-05	153.02691263459565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE17	99.0	77.5	7.3e-07	black	3.587049999999998e-05	151.0538252691913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE18	100.0	86.9	1.3912e-06	red	3.726169999999998e-05	148.1076505383826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE19	100.0	99.9	2.5788e-06	red	3.9840499999999986e-05	145.46530107676517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE20	55.0	0.0	2.34e-08	black	3.986389999999998e-05	143.93060215353034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE21	45.0	0.0	2.34e-08	black	3.988729999999998e-05	141.8612043070607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE22	100.0	77.4	2.344e-07	black	4.012169999999998e-05	138.72240861412138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE23	31.0	0.0	2.34e-08	black	4.0145099999999976e-05	133.94481722824275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE24	10.0	0.0	2.34e-08	black	4.016849999999997e-05	128.3505719564855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE25	22.0	0.0	2.34e-08	black	4.019189999999997e-05	125.70114391297102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE26	100.0	85.2	2.344e-07	red	4.042629999999997e-05	122.27728782594204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE27	100.0	74.4	2.344e-07	black	4.066069999999997e-05	118.55457565188408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE28	100.0	100.0	3.751e-06	red	4.4411699999999966e-05	113.10719817876816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE29	32.0	0.0	2.34e-08	black	4.4435099999999964e-05	111.21439635753632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE30	15.0	0.0	2.34e-08	black	4.445849999999996e-05	108.42879271507263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE31	14.0	0.0	2.34e-08	black	4.448189999999996e-05	103.85758543014526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE32	12.0	0.0	2.34e-08	black	4.4505299999999955e-05	95.71517086029053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE33	5.0	0.0	2.34e-08	black	4.452869999999995e-05	82.05534172058105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE34	10.0	0.0	2.34e-08	black	4.455209999999995e-05	65.71197128295898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE35	100.0	76.7	2.344e-07	black	4.478649999999995e-05	59.77550506591797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE36	100.0	99.7	2.3444e-06	red	4.7130899999999945e-05	57.55101013183594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE37	100.0	95.9	9.377e-07	red	4.806859999999995e-05	54.102020263671875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE38	16.0	0.0	2.34e-08	black	4.8091999999999945e-05	49.07904052734375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE39	14.0	0.0	2.34e-08	black	4.811539999999994e-05	42.6580810546875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE40	5.0	0.0	2.34e-08	black	4.813879999999994e-05	34.027099609375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE41	11.0	0.0	2.34e-08	black	4.816219999999994e-05	26.80419921875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE42	1.0	0.0	2.34e-08	black	4.8185599999999934e-05	17.6376953125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE43	8.0	0.0	2.34e-08	black	4.820899999999993e-05	15.775390625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE44	11.0	74.9	2.34e-08	black	4.823239999999993e-05	14.05078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE45	26.0	74.9	2.09e-07	black	4.8441399999999926e-05	12.1015625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE46	9.0	0.0	2.34e-08	black	4.846479999999992e-05	9.203125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE47	12.0	0.0	2.34e-08	black	4.848819999999992e-05	6.09375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE48	25.0	74.4	2.344e-07	black	4.872259999999992e-05	4.6875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE49	9.0	0.0	2.34e-08	black	4.8745999999999916e-05	3.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE50	15.0	0.0	2.34e-08	black	4.876939999999991e-05	2.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE51	48.0	78.7	2.344e-07	black	4.900379999999991e-05	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268385.1_ASM26838v1_genomic	NA	NA	2.344e-07	grey	4.923819999999991e-05	1	PY-07	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141454
GCA_000268925.1_ASM26892v1_genomic	NA	NA	7.033e-07	grey	4.970709999999991e-05	2	PY-63	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141484
GCA_000268625.1_ASM26862v1_genomic	NA	NA	2.344e-07	grey	4.900379999999991e-05	3	PY-12	2008	-13	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141459
NODE55	100.0	75.8	2.344e-07	black	4.8980399999999915e-05	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268585.1_ASM26858v1_genomic	NA	NA	2.34e-08	grey	4.900379999999991e-05	4	PY-04	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141451
GCA_000268825.1_ASM26882v1_genomic	NA	NA	2.34e-08	grey	4.900379999999991e-05	5	PY-55	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141478
GCA_000269445.1_ASM26944v1_genomic	NA	NA	2.34e-08	grey	4.8745999999999916e-05	6	PY-95	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141498
NODE59	100.0	88.0	4.689e-07	red	4.895709999999992e-05	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268805.1_ASM26880v1_genomic	NA	NA	2.34e-08	grey	4.8980499999999915e-05	7	PY-54	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141477
GCA_000268805.2_ASM26880v2_genomic	NA	NA	2.34e-08	grey	4.8980499999999915e-05	8	PY-54	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141477
NODE62	10.0	0.0	2.34e-08	black	4.848819999999992e-05	12.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE63	24.0	0.0	2.34e-08	black	4.851159999999992e-05	11.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE64	71.0	77.5	2.344e-07	black	4.8745999999999916e-05	10.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE65	100.0	99.3	1.4066e-06	red	5.015259999999992e-05	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268725.1_ASM26872v1_genomic	NA	NA	2.34e-08	grey	5.0175999999999914e-05	9	PY-34	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141468
GCA_000268725.2_ASM26872v2_genomic	NA	NA	2.34e-08	grey	5.0175999999999914e-05	10	PY-34	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141468
GCA_000268905.1_ASM26890v1_genomic	NA	NA	2.344e-07	grey	4.8980399999999915e-05	11	PY-60	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141482
GCA_000269105.1_ASM26910v1_genomic	NA	NA	2.344e-07	grey	4.8745999999999916e-05	12	PY-92	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141495
NODE70	12.0	0.0	2.34e-08	black	4.851159999999992e-05	13.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268405.1_ASM26840v1_genomic	NA	NA	2.344e-07	grey	4.8745999999999916e-05	13	PY-08	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141455
GCA_000268445.1_ASM26844v1_genomic	NA	NA	2.344e-07	grey	4.8745999999999916e-05	14	PY-10	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141457
GCA_000268945.1_ASM26894v1_genomic	NA	NA	2.34e-08	grey	4.846479999999992e-05	15	PY-64	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141485
GCA_000268845.1_ASM26884v1_genomic	NA	NA	2.34e-08	grey	4.8255799999999925e-05	16	PY-56	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141479
NODE75	20.0	0.0	2.34e-08	black	4.823239999999993e-05	17.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268685.1_ASM26868v1_genomic	NA	NA	2.34e-08	grey	4.8255799999999925e-05	17	PY-29	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141466
GCA_000269225.1_ASM26922v1_genomic	NA	NA	2.34e-08	grey	4.8255799999999925e-05	18	PY-102	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141504
NODE78	8.0	0.0	2.34e-08	black	4.820899999999993e-05	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268745.1_ASM26874v1_genomic	NA	NA	2.34e-08	grey	4.823239999999993e-05	19	PY-45	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141471
GCA_000269085.1_ASM26908v1_genomic	NA	NA	2.344e-07	grey	4.844339999999993e-05	20	PY-91	2010	-11	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141494
NODE81	10.0	0.0	2.34e-08	black	4.8185599999999934e-05	35.970703125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE82	7.0	0.0	2.34e-08	black	4.820899999999993e-05	33.44140625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE83	6.0	0.0	2.34e-08	black	4.823239999999993e-05	29.8828125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE84	8.0	0.0	2.34e-08	black	4.8255799999999925e-05	25.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE85	79.0	74.6	2.344e-07	black	4.8490199999999924e-05	23.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE86	50.0	0.0	2.34e-08	black	4.851359999999992e-05	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE87	79.0	79.1	2.344e-07	black	4.874799999999992e-05	21.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268325.1_ASM26832v1_genomic	NA	NA	2.344e-07	grey	4.898239999999992e-05	21	PY-02	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141449
GCA_000268345.1_ASM26834v1_genomic	NA	NA	7.033e-07	grey	4.945129999999992e-05	22	PY-05	2006	-15	Peru	Cajamarca	-6.8699697	-75.0458515	-6.25	-78.833333	Orientalis	1.ORI	1.ORI1	SAMN02141452
NODE90	100.0	97.2	1.1722e-06	red	4.968579999999992e-05	23.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000268865.1_ASM26886v1_genomic	NA	NA	2.34e-08	grey	4.970919999999992e-05	23	PY-58	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141480
GCA_000268865.2_ASM26886v2_genomic	NA	NA	2.34e-08	grey	4.970919999999992e-05	24	PY-58	2010	-11	Peru	La Libertad	-6.8699697	-75.0458515	-8.0	-78.5	Orientalis	1.ORI	1.ORI1	SAMN02141480
