ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
GCA_000006645.1_ASM664v1_genomic	4829855	4320021	102028	232	588	396715	10503
GCA_000007885.1_ASM788v1_genomic	4829855	4361049	51533	439	725	396715	19833
GCA_000013825.1_ASM1382v1_genomic	4829855	4382255	33238	194	394	396715	17253
GCA_000022805.1_ASM2280v1_genomic	4829855	4418206	8828	154	394	396715	5712
GCA_000022825.1_ASM2282v1_genomic	4829855	4416613	9148	181	283	396715	7096
GCA_000022845.1_ASM2284v1_genomic	4829855	4279081	148405	75	308	396715	5346
GCA_000168235.2_ASM16823v2_genomic	4829855	4399392	23365	59	317	396715	10066
GCA_000169615.1_ASM16961v1_genomic	4829855	4275373	136077	192	510	396715	21180
GCA_000169635.1_ASM16963v1_genomic	4829855	4413120	14950	72	321	396715	4749
GCA_000169655.1_ASM16965v1_genomic	4829855	4270069	146704	170	607	396715	15760
GCA_000169675.1_ASM16967v1_genomic	4829855	4394196	26397	128	416	396715	12131
GCA_000170275.1_ASM17027v1_genomic	4829855	4392240	30332	54	353	396715	10215
GCA_000181455.2_ASM18145v2_genomic	4829855	4428903	1586	28	137	396715	2514
GCA_000182485.1_ASM18248v1_genomic	4829855	4236237	184905	177	432	396715	11566
GCA_000182505.1_ASM18250v1_genomic	4829855	4324201	104768	45	323	396715	3848
GCA_000182525.1_ASM18252v1_genomic	4829855	4360295	68484	65	227	396715	4134
GCA_000182545.1_ASM18254v1_genomic	4829855	4364785	48654	360	733	396715	18968
GCA_000182705.1_ASM18270v1_genomic	4829855	4288154	132476	209	565	396715	11945
GCA_000222975.1_ASM22297v1_genomic	4829855	4269766	160393	35	83	396715	2898
GCA_000255735.1_ASM25573v1_genomic	4829855	4389585	13425	22	124	396715	30006
GCA_000255755.1_ASM25575v1_genomic	4829855	4391768	5224	32	63	396715	36085
GCA_000255775.1_ASM25577v1_genomic	4829855	4395412	4972	24	52	396715	32704
GCA_000255795.1_ASM25579v1_genomic	4829855	4379644	10845	25	49	396715	42602
GCA_000255815.1_ASM25581v1_genomic	4829855	4338960	63726	27	67	396715	30387
GCA_000255835.1_ASM25583v1_genomic	4829855	4390032	6341	31	74	396715	36693
GCA_000255855.1_ASM25585v1_genomic	4829855	4396322	817	35	27	396715	35974
GCA_000255875.1_ASM25587v1_genomic	4829855	4393093	5685	33	30	396715	34332
GCA_000255895.1_ASM25589v1_genomic	4829855	4401139	616	32	33	396715	31352
GCA_000268325.1_ASM26832v1_genomic	4829855	4348714	13033	65	152	396715	71241
GCA_000268345.1_ASM26834v1_genomic	4829855	4373151	8898	58	154	396715	50937
GCA_000268365.1_ASM26836v1_genomic	4829855	4362852	14727	45	92	396715	55469
GCA_000268385.1_ASM26838v1_genomic	4829855	4373232	12352	49	118	396715	47438
GCA_000268405.1_ASM26840v1_genomic	4829855	4361389	13470	46	124	396715	58157
