Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	timetree_rate	timetree_rate_fold_change	timetree_mutation_length	timetree_raw_date	timetree_num_date	timetree_clock_length	timetree_coord_x	timetree_coord_y	timetree_reg_x	timetree_reg_y	timetree_reg_bad
NODE0	NA	NA	0.0	black	0.0	17.8205156002536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1	0.0	-4135-10-13	-4134.217351289851	0.1	0.1	17.949246264994144	-4134.217351289851	0	False
SAMEA3541827	NA	NA	3.8504e-06	grey	3.8504e-06	1.0	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.09799740000001	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	3.224950425125666e-06	-2876-01-01	-2875.999888583412	1258.2174627064387	1258.3174627064386	1	-2776.5	3.224950425125666e-06	False
NODE1	100.0	85.0	1.32708e-05	black	1.32708e-05	3.15625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	7.7457560428298e-06	-3477-02-05	-3476.901502077697	657.3158492121538	657.4158492121538	3.15625	-3476.901502077697	7.7457560428298e-06	False
SAMEA104233046	NA	NA	2.2484e-06	grey	1.55192e-05	2.0	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.350000300000005	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	1.9351544292618385e-06	-2621-01-01	-2620.999888583412	855.9016134942849	1513.3174627064386	2	-2546.5	9.68091047209164e-06	False
NODE2	100.0	94.6	1.36364e-05	black	2.69072e-05	4.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	1.4217720231039462e-05	-2720-09-22	-2719.2744170421956	757.6270850355013	1415.042934247655	4.3125	-2719.2744170421956	2.196347627386926e-05	False
SAMEA104233047	NA	NA	2.683e-07	grey	2.7175499999999998e-05	3.0	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	2.1492664658048136e-07	-2574-01-01	-2573.999888583412	145.2745284587836	1560.3174627064386	3	-2457.0	2.217840292044974e-05	False
NODE3	100.0	53.7	1.1231e-06	black	2.8030299999999998e-05	5.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	6.446972802066615e-07	-2697-11-27	-2696.094463021889	23.179954020306468	1438.2228882679615	5.625	-2696.094463021889	2.260817355407592e-05	False
NODE4	100.0	98.7	1.173e-06	red	2.92033e-05	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	1.0747959008270548e-06	-2568-11-05	-2567.1549964251944	128.93946659669473	1567.1623548646562	4.5	-2567.1549964251944	2.3682969454902977e-05	False
SAMEA6812876	NA	NA	2.346e-07	grey	2.9437899999999998e-05	4.0	GLZ001	[-2838:-2495]	[-4859:-4516]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812876	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	2.149022878206627e-07	-2544-10-15	-2543.2113167597627	23.943679665431773	1591.106034530088	4	-2666.5	2.389787174272364e-05	False
SAMEA6812877	NA	NA	2.35e-08	grey	2.92268e-05	5.0	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	1.7885700048419135e-21	-2568-11-05	-2567.1549964251944	0.0	1567.1623548646562	5	-2518.0	2.368296945490298e-05	False
NODE5	100.0	83.5	1.09091e-05	black	3.89394e-05	6.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	9.685528053304143e-06	-2355-04-13	-2354.7179179294817	341.37654509240747	1779.599433360369	6.75	-2354.7179179294817	3.229370160738006e-05	False
SAMEA104233049	NA	NA	2.55e-07	grey	3.91944e-05	6.0	1343UnTal85	[-2396:-2148]	[-4417:-4169]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233049	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	2.1488150559229659e-07	-2331-03-23	-2330.776553749025	23.94136418045673	1803.5407975408257	6	-2272.0	3.250858311297236e-05	False
NODE6	NA	NA	1.27143e-05	black	5.16537e-05	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	1.1630093329252906e-05	-1907-10-17	-1906.207722620595	448.51019530888675	2228.1096286692555	7.5	-1906.207722620595	4.3923794936632965e-05	False
SAMEA104233048	NA	NA	7.747e-07	grey	5.24284e-05	7.0	Post6	[-2007:-1882]	[-4028:-3903]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233048	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	6.448324659068642e-07	-1882-01-01	-1881.9998885834113	24.207834037183602	2252.317462706439	7	-1944.5	4.456862740253983e-05	False
SAMEA3541826	NA	NA	3.2367e-06	grey	5.4890400000000006e-05	8.0	RISE505	[-1746:-1626]	[-3767:-3647]	Russia	Altai Krai	64.6863136	97.7453061	52.693224300000004	82.69314240000001	Bronze Age	0.PRE	0.PRE1	SAMEA3541826	KEEP: SRA Ancient	0	8.975324211796821e-09	1.0	2.579789178640791e-06	-1626-01-01	-1625.9998885834113	280.2078340371836	2508.317462706439	8	-1686.0	4.650358411527375e-05	False
NODE7	100.0	55.6	5.184e-06	black	5.184e-06	34.6410312005072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	5.376451882139158e-06	-3693-08-29	-3692.3421456185843	441.8752056712665	441.9752056712665	34.89849252998829	-3692.3421456185843	5.376451882139158e-06	False
NODE8	100.0	100.0	3.71597e-05	red	4.2343700000000006e-05	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	3.327011335658613e-05	1947-09-08	1947.6862808044725	5640.028426423057	6082.003632094324	9.5	1947.6862808044725	3.8646565238725294e-05	False
GCA_000323485.1_ASM32348v1_genomic	NA	NA	2.346e-07	grey	4.2578300000000005e-05	9.0	620024	1962	-59	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403008	KEEP: Assembly Modern Cui 2013 Keller 2019	0	8.975324211796821e-09	1.0	2.1488577675357895e-07	1962-01-01	1962.0	14.313719195527483	6096.317351289851	9	1962.0	3.886145101547887e-05	False
GCA_000323845.1_ASM32384v1_genomic	NA	NA	2.35e-08	grey	4.23672e-05	10.0	CMCC05009	1961	-60	China	Qinghai	35.000074	104.999927	35.40709525	95.95211573241954	Antiqua	0.PE	0.PE7	SAMN02403027	KEEP: Assembly Modern Cui 2013	0	8.975324211796821e-09	1.0	1.8411404918290975e-21	1961-01-01	1961.0	13.313719195527483	6095.317351289851	10	1961.0	3.8646565238725294e-05	False
NODE9	100.0	94.4	1.86931e-05	black	2.38771e-05	59.7820624010144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	1.637551825104726e-05	-2642-06-09	-2641.5626640081464	1050.7794816104379	1492.7546872817043	60.29698505997658	-2641.5626640081464	2.1751970133186416e-05	False
NODE10	100.0	99.8	3.67485e-05	red	6.06256e-05	24.34326171875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	3.197191344072958e-05	-350-07-09	-349.48174427607705	2292.0809197320696	3784.835607013774	26.123046875	-349.48174427607705	5.372388357391599e-05	False
NODE11	100.0	99.6	1.86279e-05	red	7.92535e-05	12.7421875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	1.6807761674717157e-05	1167-07-19	1167.545869102653	1517.02761337873	5301.8632203925035	16.375	1167.545869102653	7.053164524863315e-05	False
GCA_001294825.1_ASM129482v1_genomic	NA	NA	2.346e-07	grey	7.94881e-05	11.0	C-537	1984	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN03839871	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	8.975324211796821e-09	1.0	2.1489617031740323e-07	1984-01-01	1984.0	816.4541308973471	6118.31735128985	11	1984.0	7.074654141895056e-05	False
NODE12	62.0	10.5	2.35e-08	black	7.927700000000001e-05	14.484375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE13	82.0	69.0	7.038e-07	black	7.99808e-05	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.975324211796821e-09	1.0	6.447151344877077e-07	1227-01-11	1227.0283730002502	59.482503897597326	5361.3457242901	13.5	1227.0283730002502	7.117636038312086e-05	False
GCA_001601675.1_ASM160167v1_genomic	NA	NA	1.67662e-05	grey	9.6747e-05	12.0	C-741	1999	-22	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04336076	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	8.975324211796821e-09	1.0	1.512319102648616e-05	1999-01-01	1999.0	771.9716269997498	6133.31735128985	13	1999.0	8.629955140960702e-05	False
GCA_002127375.1_ASM212737v1_genomic	NA	NA	9.384e-07	grey	8.09192e-05	13.0	C-739	1998	-23	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN04992974	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	8.975324211796821e-09	1.0	8.59634094869287e-07	1998-01-01	1998.0	770.9716269997498	6132.31735128985	14	1998.0	7.203599447799015e-05	False
NODE14	42.0	40.3	2.35e-08	black	7.930050000000001e-05	16.46875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCA_006376585.1_ASM637658v1_genomic	NA	NA	2.35e-08	grey	7.932400000000002e-05	14.0	C-371	1978	-43	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.149880179442285	Caucasica	0.PE	0.PE2	SAMN12012142	KEEP: Assembly Modern	0	8.975324211796821e-09	1.0	7.395170244594645e-20	1978-01-01	1978.0	810.4541308973471	6112.31735128985	12	1978.0	7.053164524863322e-05	False
NODE15	50.0	44.2	2.35e-08	black	7.932400000000002e-05	18.9375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
